t_formated,genout_coal_interp,genout_ng_interp,genout_nuclear_interp,genout_solar_interp,genout_wind_interp
15-Feb-2021 11:30:00,4450.335397,25196.66814,1333.333333,1057.64411,18394.14713
15-Feb-2021 11:40:00,4487.057104,25418.2638,1331.889773,1057.64411,18286.23642
15-Feb-2021 11:50:00,4401.678023,25566.77827,1328.320802,1057.64411,18244.18794
15-Feb-2021 12:00:00,4084.033613,25598.99749,1328.320802,1057.64411,18290.72682
15-Feb-2021 12:10:00,4097.778146,25598.99749,1328.320802,1057.64411,18290.72682
15-Feb-2021 12:20:00,4079.887218,25586.77945,1328.320802,1057.64411,18290.72682
15-Feb-2021 12:30:00,3850.886407,25555.14706,1328.320802,1074.054622,18318.49845
15-Feb-2021 12:40:00,3854.636591,25505.57383,1329.560881,1140.168129,18410.92314
15-Feb-2021 12:50:00,3854.636591,25317.38968,1333.333333,1192.982456,18471.1718
15-Feb-2021 13:00:00,3854.636591,25276.09465,1333.333333,1192.982456,18542.47752
15-Feb-2021 13:10:00,3852.283896,25387.80468,1333.333333,1194.764448,18511.58534
15-Feb-2021 13:20:00,3846.773797,25512.8999,1332.252199,1202.213454,18489.7538
15-Feb-2021 13:30:00,3850.692909,25623.97722,1329.306723,1209.662461,18456.30621
15-Feb-2021 13:40:00,3830.800961,25661.14505,1332.386957,1217.111467,18401.84445
15-Feb-2021 13:50:00,3813.445992,25763.77525,1328.320802,1224.560473,18304.87063
15-Feb-2021 14:00:00,3809.52381,25915.45039,1329.315937,1232.009479,18178.424
15-Feb-2021 14:10:00,3809.52381,26129.94803,1333.333333,1234.495553,18208.47462
15-Feb-2021 14:20:00,3809.52381,26223.01464,1332.528625,1218.045113,18290.72682
15-Feb-2021 14:30:00,3809.52381,25983.41557,1329.07464,1217.291275,18290.72682
15-Feb-2021 14:40:00,3809.52381,25935.18109,1332.424198,1214.850853,18290.72682
15-Feb-2021 14:50:00,3809.52381,26122.44459,1328.320802,1214.918424,18275.2623
15-Feb-2021 15:00:00,3809.52381,26026.48165,1329.039511,1169.338788,18191.89518
15-Feb-2021 15:10:00,3809.52381,25988.17817,1332.709838,1147.869674,18162.94413
15-Feb-2021 15:20:00,3809.52381,25869.67419,1328.320802,1155.727861,18124.86947
15-Feb-2021 15:30:00,3809.52381,25869.67419,1329.048725,1217.31719,18246.42489
