t_formated,v_gen_avail_interp,v_load_shed_interp,,v_gen_avail_interp_shift_30min
2/15/2021 10:20,51103.71784,16534.06168,,51110.8871
2/15/2021 10:30,50868.67329,16534.06186,,51104.80854
2/15/2021 10:40,50895.48229,16534.06205,,51181.962
2/15/2021 10:50,50932.57839,16534.06223,,51103.71784
2/15/2021 11:00,50903.27591,16534.06241,,50868.67329
2/15/2021 11:10,50964.37526,16534.06259,,50895.48229
2/15/2021 11:20,50837.18943,16534.06277,,50932.57839
2/15/2021 11:30,50689.11766,16534.06295,,50903.27591
2/15/2021 11:40,50783.53319,16534.06314,,50964.37526
2/15/2021 11:50,50710.00396,16534.06332,,50837.18943
2/15/2021 12:00,50435.68138,16534.0635,,50689.11766
2/15/2021 12:10,50108.98809,16534.06368,,50783.53319
2/15/2021 12:20,49853.68106,16534.06386,,50710.00396
2/15/2021 12:30,50055.52668,16534.06404,,50435.68138
2/15/2021 12:40,50335.61664,16472.96506,,50108.98809
2/15/2021 12:50,50472.15475,16270.96394,,49853.68106
2/15/2021 13:00,50294.46859,16111.35815,,50055.52668
2/15/2021 13:10,50042.90233,15977.62598,,50335.61664
2/15/2021 13:20,49974.71148,15865.01355,,50472.15475
2/15/2021 13:30,49984.92083,15324.86285,,50294.46859
2/15/2021 13:40,49915.71686,14963.56748,,50042.90233
2/15/2021 13:50,49853.37096,14972.91958,,49974.71148
2/15/2021 14:00,49811.911,14960.13881,,49984.92083
2/15/2021 14:10,49316.25982,14960.13899,,49915.71686
2/15/2021 14:20,48998.29498,14960.13918,,49853.37096
2/15/2021 14:30,49009.51745,14960.13936,,49811.911
2/15/2021 14:40,49054.40682,14877.84271,,49316.25982
2/15/2021 14:50,48935.63771,14367.85193,,48998.29498
2/15/2021 15:00,48396.14944,13946.62639,,49009.51745
2/15/2021 15:10,47986.41896,13971.95467,,49054.40682
2/15/2021 15:20,47540.95638,13958.55044,,48935.63771
2/15/2021 15:30,47781.61244,13958.55062,,48396.14944
2/15/2021 15:40,47826.81353,13958.5508,,47986.41896
2/15/2021 15:50,47714.51283,13958.55099,,47540.95638
2/15/2021 16:00,47588.96359,13958.55117,,47781.61244
2/15/2021 16:10,47634.16468,13958.55135,,47826.81353
2/15/2021 16:20,47651.62176,13958.55153,,47714.51283
2/15/2021 16:30,47510.40807,13958.55171,,47588.96359
2/15/2021 16:40,47358.12794,13958.55189,,47634.16468
