BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
ERCO,2/15/2021 2 p.m. CST,45356,68364,44808,-547
ERCO,2/15/2021 3 p.m. CST,44963,72062,44207,-755
ERCO,2/15/2021 4 p.m. CST,45055,68281,44290,-764
ERCO,2/15/2021 5 p.m. CST,45365,69139,44601,-764
ERCO,2/15/2021 6 p.m. CST,45451,73309,44686,-765
ERCO,2/15/2021 7 p.m. CST,45106,72780,44341,-765
ERCO,2/15/2021 8 p.m. CST,44264,73149,43499,-765
ERCO,2/15/2021 9 p.m. CST,44454,69814,43690,-765
ERCO,2/15/2021 10 p.m. CST,45021,71515,44256,-765
ERCO,2/15/2021 11 p.m. CST,44224,69706,43460,-765
ERCO,2/16/2021 12 a.m. CST,43776,69759,43011,-765
ERCO,2/16/2021 1 a.m. CST,44151,68946,43338,-813
ERCO,2/16/2021 2 a.m. CST,44666,64179,43851,-814
ERCO,2/16/2021 3 a.m. CST,45427,67283,44613,-814
ERCO,2/16/2021 4 a.m. CST,46172,69263,45358,-814
ERCO,2/16/2021 5 a.m. CST,45747,70318,44945,-802
ERCO,2/16/2021 6 a.m. CST,45871,72111,45056,-814
ERCO,2/16/2021 7 a.m. CST,46555,75061,45812,-742
ERCO,2/16/2021 8 a.m. CST,46846,74994,46790,-56
ERCO,2/16/2021 9 a.m. CST,45814,72937,45815,0
ERCO,2/16/2021 10 a.m. CST,44836,71521,44836,0
ERCO,2/16/2021 11 a.m. CST,44071,69033,43940,-132
ERCO,2/16/2021 12 p.m. CST,43996,66806,43563,-434
ERCO,2/16/2021 1 p.m. CST,43924,64560,43408,-517
ERCO,2/16/2021 2 p.m. CST,43633,62636,43116,-517
ERCO,2/16/2021 3 p.m. CST,44901,62981,44380,-521
ERCO,2/16/2021 4 p.m. CST,45238,60778,44432,-806
ERCO,2/16/2021 5 p.m. CST,45861,61726,45046,-815
ERCO,2/16/2021 6 p.m. CST,46312,64736,45497,-815
ERCO,2/16/2021 7 p.m. CST,45536,65722,44721,-815
ERCO,2/16/2021 8 p.m. CST,45174,65754,44359,-815
ERCO,2/16/2021 9 p.m. CST,45075,64426,44260,-815
ERCO,2/16/2021 10 p.m. CST,44225,63834,43410,-815
ERCO,2/16/2021 11 p.m. CST,43502,61165,42687,-814
ERCO,2/17/2021 12 a.m. CST,42688,57985,41875,-814
ERCO,2/17/2021 1 a.m. CST,42713,57474,41906,-807
ERCO,2/17/2021 2 a.m. CST,42524,56535,41709,-814
ERCO,2/17/2021 3 a.m. CST,42938,55462,42124,-814
ERCO,2/17/2021 4 a.m. CST,42982,56034,42167,-814
ERCO,2/17/2021 5 a.m. CST,43051,56549,42236,-814
ERCO,2/17/2021 6 a.m. CST,43238,59162,42423,-814
ERCO,2/17/2021 7 a.m. CST,43811,62111,42996,-814
ERCO,2/17/2021 8 a.m. CST,44181,63603,43608,-572
ERCO,2/17/2021 9 a.m. CST,43900,63545,43682,-218
ERCO,2/17/2021 10 a.m. CST,44475,62403,44258,-217
ERCO,2/17/2021 11 a.m. CST,45181,60800,45028,-153
ERCO,2/17/2021 12 p.m. CST,45026,59860,44740,-286
ERCO,2/17/2021 1 p.m. CST,45068,58533,44803,-265
ERCO,2/17/2021 2 p.m. CST,45240,57908,44842,-399
ERCO,2/17/2021 3 p.m. CST,45013,57707,44240,-773
ERCO,2/17/2021 4 p.m. CST,44855,56626,44042,-813
ERCO,2/17/2021 5 p.m. CST,45235,57321,44421,-814
ERCO,2/17/2021 6 p.m. CST,47053,57875,46241,-811
ERCO,2/17/2021 7 p.m. CST,48810,60349,48155,-655
ERCO,2/17/2021 8 p.m. CST,49110,61131,48942,-168
ERCO,2/17/2021 9 p.m. CST,49252,60223,48715,-537
ERCO,2/17/2021 10 p.m. CST,48953,58924,48267,-686
ERCO,2/17/2021 11 p.m. CST,48532,57279,47788,-743
ERCO,2/18/2021 12 a.m. CST,48064,55798,47289,-774
ERCO,2/18/2021 1 a.m. CST,47939,56591,47293,-646
ERCO,2/18/2021 2 a.m. CST,47757,56970,47093,-664
ERCO,2/18/2021 3 a.m. CST,47769,57292,47104,-664
ERCO,2/18/2021 4 a.m. CST,47943,57549,47279,-664
ERCO,2/18/2021 5 a.m. CST,48568,58466,47903,-664
