date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-04-23,225653,10896,0.34,11186,618,4.96
2020-04-24,235555,9903,0.35,11735,549,4.98
2020-04-25,244550,8995,0.37,12231,496,5.0
2020-04-26,253981,9431,0.38,12444,212,4.9
2020-04-27,261008,7026,0.39,12855,412,4.93
2020-04-28,270155,9147,0.4,13733,878,5.08
2020-04-29,278387,8233,0.42,14651,918,5.26
2020-04-30,287891,9503,0.43,15491,840,5.38
2020-05-01,299094,11203,0.45,16195,704,5.41
2020-05-02,307536,8442,0.46,16771,576,5.45
2020-05-03,317328,9791,0.47,17143,372,5.4
2020-05-04,325431,8103,0.49,17455,312,5.36
2020-05-05,334188,8757,0.5,18425,969,5.51
2020-05-06,341747,7559,0.51,19146,722,5.6
2020-05-07,351142,9396,0.52,19939,793,5.68
2020-05-08,360589,9446,0.54,20496,556,5.68
2020-05-09,368630,8041,0.55,20936,440,5.68
2020-05-10,375294,6664,0.56,21272,336,5.67
2020-05-11,381752,6458,0.57,21534,262,5.64
2020-05-12,389665,7913,0.58,22127,593,5.68
2020-05-13,395060,5394,0.59,22829,701,5.78
