INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,SLRS_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_ZONE_NAME,SCHEDULE,XML_DATA_ITEM,POS,MW,GROUP
2020-06-25T22:00:00-00:00,2020-06-25T23:00:00-00:00,LOAD,2020-06-25,16,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2020-06-25T20:00:00-00:00,2020-06-25T21:00:00-00:00,LOAD,2020-06-25,14,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2020-06-25T19:00:00-00:00,2020-06-25T20:00:00-00:00,LOAD,2020-06-25,13,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2020-06-25T18:00:00-00:00,2020-06-25T19:00:00-00:00,LOAD,2020-06-25,12,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2020-06-25T08:00:00-00:00,2020-06-25T09:00:00-00:00,LOAD,2020-06-25,2,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.67,2
2020-06-25T13:00:00-00:00,2020-06-25T14:00:00-00:00,LOAD,2020-06-25,7,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2020-06-26T05:00:00-00:00,2020-06-26T06:00:00-00:00,LOAD,2020-06-25,23,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,12443.45,3
2020-06-25T07:00:00-00:00,2020-06-25T08:00:00-00:00,LOAD,2020-06-25,1,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,10784.02,3
2020-06-25T08:00:00-00:00,2020-06-25T09:00:00-00:00,LOAD,2020-06-25,2,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,10187.27,3
2020-06-25T10:00:00-00:00,2020-06-25T11:00:00-00:00,LOAD,2020-06-25,4,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,9516.47,3
2020-06-25T18:00:00-00:00,2020-06-25T19:00:00-00:00,LOAD,2020-06-25,12,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,12905.51,3
2020-06-25T15:00:00-00:00,2020-06-25T16:00:00-00:00,LOAD,2020-06-25,9,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,11330.78,3
2020-06-25T22:00:00-00:00,2020-06-25T23:00:00-00:00,LOAD,2020-06-25,16,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,14971.82,3
2020-06-26T03:00:00-00:00,2020-06-26T04:00:00-00:00,LOAD,2020-06-25,21,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,14132.08,3
2020-06-25T16:00:00-00:00,2020-06-25T17:00:00-00:00,LOAD,2020-06-25,10,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,11809.03,3
2020-06-25T17:00:00-00:00,2020-06-25T18:00:00-00:00,LOAD,2020-06-25,11,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,12329.23,3
2020-06-26T02:00:00-00:00,2020-06-26T03:00:00-00:00,LOAD,2020-06-25,20,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,14266.74,3
2020-06-25T14:00:00-00:00,2020-06-25T15:00:00-00:00,LOAD,2020-06-25,8,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,10837.83,3
2020-06-25T19:00:00-00:00,2020-06-25T20:00:00-00:00,LOAD,2020-06-25,13,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,13499.59,3
2020-06-25T20:00:00-00:00,2020-06-25T21:00:00-00:00,LOAD,2020-06-25,14,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,14086.47,3
2020-06-25T21:00:00-00:00,2020-06-25T22:00:00-00:00,LOAD,2020-06-25,15,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,14580.07,3
2020-06-26T06:00:00-00:00,2020-06-26T07:00:00-00:00,LOAD,2020-06-25,24,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,11409.68,3
2020-06-25T09:00:00-00:00,2020-06-25T10:00:00-00:00,LOAD,2020-06-25,3,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,9766.47,3
2020-06-25T12:00:00-00:00,2020-06-25T13:00:00-00:00,LOAD,2020-06-25,6,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,9964.1,3
2020-06-26T00:00:00-00:00,2020-06-26T01:00:00-00:00,LOAD,2020-06-25,18,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,15243.57,3
2020-06-26T01:00:00-00:00,2020-06-26T02:00:00-00:00,LOAD,2020-06-25,19,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,14996.64,3
2020-06-25T13:00:00-00:00,2020-06-25T14:00:00-00:00,LOAD,2020-06-25,7,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,10390.88,3
2020-06-25T11:00:00-00:00,2020-06-25T12:00:00-00:00,LOAD,2020-06-25,5,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,9585.66,3
2020-06-25T23:00:00-00:00,2020-06-26T00:00:00-00:00,LOAD,2020-06-25,17,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,15194.21,3
