Time Stamp,Time Zone,Fuel Category,Gen MWh
07/19/2017 01:40:00,EDT,Nuclear,5277.0
07/19/2017 01:40:00,EDT,Other Fossil Fuels,0.0
07/19/2017 01:40:00,EDT,Other Renewables,286.0
07/19/2017 01:40:00,EDT,Wind,211.0
07/19/2017 01:40:00,EDT,Hydro,2854.0
07/19/2017 01:45:00,EDT,Dual Fuel,3378.0
07/19/2017 01:45:00,EDT,Natural Gas,3114.0
07/19/2017 01:45:00,EDT,Nuclear,5276.0
07/19/2017 01:45:00,EDT,Other Fossil Fuels,0.0
07/19/2017 01:45:00,EDT,Other Renewables,284.0
07/19/2017 01:45:00,EDT,Wind,225.0
07/19/2017 01:45:00,EDT,Hydro,2813.0
07/19/2017 01:50:00,EDT,Dual Fuel,3333.0
07/19/2017 01:50:00,EDT,Natural Gas,3104.0
07/19/2017 01:50:00,EDT,Nuclear,5274.0
07/19/2017 01:50:00,EDT,Other Fossil Fuels,0.0
07/19/2017 01:50:00,EDT,Other Renewables,282.0
07/19/2017 01:50:00,EDT,Wind,236.0
07/19/2017 01:50:00,EDT,Hydro,2815.0
07/19/2017 01:55:00,EDT,Dual Fuel,3305.0
07/19/2017 01:55:00,EDT,Natural Gas,3097.0
07/19/2017 01:55:00,EDT,Nuclear,5275.0
07/19/2017 01:55:00,EDT,Other Fossil Fuels,0.0
07/19/2017 01:55:00,EDT,Other Renewables,290.0
07/19/2017 01:55:00,EDT,Wind,247.0
07/19/2017 01:55:00,EDT,Hydro,2813.0
07/19/2017 02:00:00,EDT,Dual Fuel,3259.0
07/19/2017 02:00:00,EDT,Natural Gas,3079.0
07/19/2017 02:00:00,EDT,Nuclear,5275.0
07/19/2017 02:00:00,EDT,Other Fossil Fuels,0.0
07/19/2017 02:00:00,EDT,Other Renewables,287.0
07/19/2017 02:00:00,EDT,Wind,248.0
07/19/2017 02:00:00,EDT,Hydro,2825.0
07/19/2017 02:05:00,EDT,Dual Fuel,3307.0
07/19/2017 02:05:00,EDT,Natural Gas,3086.0
07/19/2017 02:05:00,EDT,Nuclear,5278.0
07/19/2017 02:05:00,EDT,Other Fossil Fuels,0.0
07/19/2017 02:05:00,EDT,Other Renewables,282.0
07/19/2017 02:05:00,EDT,Wind,251.0
07/19/2017 02:05:00,EDT,Hydro,2898.0
07/19/2017 02:10:00,EDT,Dual Fuel,3336.0
07/19/2017 02:10:00,EDT,Natural Gas,3085.0
07/19/2017 02:10:00,EDT,Nuclear,5277.0
07/19/2017 02:10:00,EDT,Other Fossil Fuels,0.0
07/19/2017 02:10:00,EDT,Other Renewables,286.0
07/19/2017 02:10:00,EDT,Wind,252.0
07/19/2017 02:10:00,EDT,Hydro,2869.0
07/19/2017 02:15:00,EDT,Dual Fuel,3337.0
07/19/2017 02:15:00,EDT,Natural Gas,3091.0
07/19/2017 02:15:00,EDT,Nuclear,5276.0
07/19/2017 02:15:00,EDT,Other Fossil Fuels,0.0
07/19/2017 02:15:00,EDT,Other Renewables,289.0
07/19/2017 02:15:00,EDT,Wind,252.0
07/19/2017 02:15:00,EDT,Hydro,2860.0
07/19/2017 02:20:00,EDT,Dual Fuel,3334.0
07/19/2017 02:20:00,EDT,Natural Gas,3073.0
07/19/2017 02:20:00,EDT,Nuclear,5278.0
07/19/2017 02:20:00,EDT,Other Fossil Fuels,0.0
07/19/2017 02:20:00,EDT,Other Renewables,285.0
07/19/2017 02:20:00,EDT,Wind,251.0
07/19/2017 02:20:00,EDT,Hydro,2864.0
07/19/2017 02:25:00,EDT,Dual Fuel,3332.0
07/19/2017 02:25:00,EDT,Natural Gas,3067.0
07/19/2017 02:25:00,EDT,Nuclear,5279.0
07/19/2017 02:25:00,EDT,Other Fossil Fuels,0.0
07/19/2017 02:25:00,EDT,Other Renewables,282.0
07/19/2017 02:25:00,EDT,Wind,255.0
07/19/2017 02:25:00,EDT,Hydro,2865.0
07/19/2017 02:30:00,EDT,Dual Fuel,3330.0
07/19/2017 02:30:00,EDT,Natural Gas,3065.0
07/19/2017 02:30:00,EDT,Nuclear,5276.0
07/19/2017 02:30:00,EDT,Other Fossil Fuels,0.0
07/19/2017 02:30:00,EDT,Other Renewables,285.0
07/19/2017 02:30:00,EDT,Wind,263.0
07/19/2017 02:30:00,EDT,Hydro,2838.0
07/19/2017 02:35:00,EDT,Dual Fuel,3299.0
07/19/2017 02:35:00,EDT,Natural Gas,3049.0
