fileId,fileUrls from query VNP46A1--5000 2020-01-01..2020-06-05 x-121.85y36.59 x-121.85y36.59[5],size
5191298131,/archive/allData/5000/VNP46A1/2020/038/VNP46A1.A2020038.h05v05.001.2020054151458.h5,41324851
5191308013,/archive/allData/5000/VNP46A1/2020/039/VNP46A1.A2020039.h05v05.001.2020054154734.h5,46772340
5191375746,/archive/allData/5000/VNP46A1/2020/040/VNP46A1.A2020040.h05v05.001.2020054165213.h5,52368280
5191897030,/archive/allData/5000/VNP46A1/2020/041/VNP46A1.A2020041.h05v05.001.2020055175043.h5,43532764
5196674830,/archive/allData/5000/VNP46A1/2020/042/VNP46A1.A2020042.h05v05.001.2020056204815.h5,41932092
5175248743,/archive/allData/5000/VNP46A1/2020/043/VNP46A1.A2020043.h05v05.001.2020044064618.h5,40639825
5176202517,/archive/allData/5000/VNP46A1/2020/044/VNP46A1.A2020044.h05v05.001.2020045103115.h5,44529050
5177820506,/archive/allData/5000/VNP46A1/2020/045/VNP46A1.A2020045.h05v05.001.2020046100804.h5,48843852
5183502022,/archive/allData/5000/VNP46A1/2020/046/VNP46A1.A2020046.h05v05.001.2020050050934.h5,47933573
5183698291,/archive/allData/5000/VNP46A1/2020/047/VNP46A1.A2020047.h05v05.001.2020050070036.h5,41881305
5183337689,/archive/allData/5000/VNP46A1/2020/048/VNP46A1.A2020048.h05v05.001.2020050025406.h5,39750431
5183870621,/archive/allData/5000/VNP46A1/2020/049/VNP46A1.A2020049.h05v05.001.2020050100827.h5,40945831
5188378939,/archive/allData/5000/VNP46A1/2020/050/VNP46A1.A2020050.h05v05.001.2020052063634.h5,39888587
5189122315,/archive/allData/5000/VNP46A1/2020/051/VNP46A1.A2020051.h05v05.001.2020052173654.h5,47622683
5190598451,/archive/allData/5000/VNP46A1/2020/052/VNP46A1.A2020052.h05v05.001.2020053132211.h5,48889324
5191153511,/archive/allData/5000/VNP46A1/2020/053/VNP46A1.A2020053.h05v05.001.2020054082548.h5,41245615
5193942515,/archive/allData/5000/VNP46A1/2020/054/VNP46A1.A2020054.h05v05.001.2020056043107.h5,38729900
5194849994,/archive/allData/5000/VNP46A1/2020/055/VNP46A1.A2020055.h05v05.001.2020056085411.h5,45906766
5198695306,/archive/allData/5000/VNP46A1/2020/056/VNP46A1.A2020056.h05v05.001.2020057082204.h5,42429333
5200278365,/archive/allData/5000/VNP46A1/2020/057/VNP46A1.A2020057.h05v05.001.2020143083543.h5,45148231
5201834202,/archive/allData/5000/VNP46A1/2020/058/VNP46A1.A2020058.h05v05.001.2020059063703.h5,42775216
5205155612,/archive/allData/5000/VNP46A1/2020/059/VNP46A1.A2020059.h05v05.001.2020060062549.h5,42537789
5207427539,/archive/allData/5000/VNP46A1/2020/060/VNP46A1.A2020060.h05v05.001.2020061074400.h5,43497915
5209512063,/archive/allData/5000/VNP46A1/2020/061/VNP46A1.A2020061.h05v05.001.2020062074243.h5,49257896
5213162761,/archive/allData/5000/VNP46A1/2020/062/VNP46A1.A2020062.h05v05.001.2020063070457.h5,47691859
5214468208,/archive/allData/5000/VNP46A1/2020/063/VNP46A1.A2020063.h05v05.001.2020139132411.h5,41758658
5218035361,/archive/allData/5000/VNP46A1/2020/064/VNP46A1.A2020064.h05v05.001.2020065200140.h5,39383766
5219570764,/archive/allData/5000/VNP46A1/2020/065/VNP46A1.A2020065.h05v05.001.2020066080255.h5,39842739
5223279917,/archive/allData/5000/VNP46A1/2020/066/VNP46A1.A2020066.h05v05.001.2020132135729.h5,46425366
5231403470,/archive/allData/5000/VNP46A1/2020/067/VNP46A1.A2020067.h05v05.001.2020070103646.h5,52686398
5231355945,/archive/allData/5000/VNP46A1/2020/068/VNP46A1.A2020068.h05v05.001.2020070095746.h5,48532575
5239624647,/archive/allData/5000/VNP46A1/2020/069/VNP46A1.A2020069.h05v05.001.2020073155609.h5,44096555
5240276155,/archive/allData/5000/VNP46A1/2020/070/VNP46A1.A2020070.h05v05.001.2020073185901.h5,43652422
5239722076,/archive/allData/5000/VNP46A1/2020/071/VNP46A1.A2020071.h05v05.001.2020132152924.h5,46505558
5239026743,/archive/allData/5000/VNP46A1/2020/072/VNP46A1.A2020072.h05v05.001.2020073085138.h5,47967324
5241137779,/archive/allData/5000/VNP46A1/2020/073/VNP46A1.A2020073.h05v05.001.2020074073608.h5,45984275
5243079528,/archive/allData/5000/VNP46A1/2020/074/VNP46A1.A2020074.h05v05.001.2020075064624.h5,41608420
5245011236,/archive/allData/5000/VNP46A1/2020/075/VNP46A1.A2020075.h05v05.001.2020132170817.h5,41072000
5248447984,/archive/allData/5000/VNP46A1/2020/076/VNP46A1.A2020076.h05v05.001.2020119085446.h5,45386023
5249609560,/archive/allData/5000/VNP46A1/2020/077/VNP46A1.A2020077.h05v05.001.2020119090331.h5,48118414
5250815496,/archive/allData/5000/VNP46A1/2020/078/VNP46A1.A2020078.h05v05.001.2020119103700.h5,47151047
5253692494,/archive/allData/5000/VNP46A1/2020/079/VNP46A1.A2020079.h05v05.001.2020119110740.h5,42091585
5256032067,/archive/allData/5000/VNP46A1/2020/080/VNP46A1.A2020080.h05v05.001.2020119114823.h5,40444953
5258601937,/archive/allData/5000/VNP46A1/2020/081/VNP46A1.A2020081.h05v05.001.2020119205239.h5,41462106
