"BA Code","Timestamp (Hour Ending)","AEC Interchange (MWh)","AECI Interchange (MWh)","GLHB Interchange (MWh)","IESO Interchange (MWh)","LGEE Interchange (MWh)","MHEB Interchange (MWh)","PJM Interchange (MWh)","SOCO Interchange (MWh)","SPA Interchange (MWh)","SWPP Interchange (MWh)","TVA Interchange (MWh)"
MISO,"2/3/2021 11 p.m. CST",-4,-683,-71,-778,734,760,-1984,-821,-511,212,2845
MISO,"2/4/2021 12 a.m. CST",9,-671,-74,-659,848,510,-1685,-675,-490,119,3078
MISO,"2/4/2021 1 a.m. CST",33,-646,-71,-950,876,529,-1652,-365,-503,-21,3095
MISO,"2/4/2021 2 a.m. CST",36,-572,-75,-1015,887,562,-1675,-452,-500,-110,3020
MISO,"2/4/2021 3 a.m. CST",42,-523,-70,-988,878,503,-1589,-369,-489,-228,3016
MISO,"2/4/2021 4 a.m. CST",30,-497,-70,-1051,867,468,-1548,-311,-485,90,2915
MISO,"2/4/2021 5 a.m. CST",39,-500,-55,-1172,839,371,-1371,-274,-484,90,2988
MISO,"2/4/2021 6 a.m. CST",42,-368,-43,-838,700,363,-1238,-254,-492,86,3174
MISO,"2/4/2021 7 a.m. CST",29,-292,-43,-776,537,36,-904,-388,-501,-213,3107
MISO,"2/4/2021 8 a.m. CST",15,-372,-34,-856,468,148,-722,-237,-464,97,3081
MISO,"2/4/2021 9 a.m. CST",-3,-550,-18,-1114,509,-85,-855,-344,-513,552,3165
MISO,"2/4/2021 10 a.m. CST",-20,-613,16,-1082,516,-55,-1436,-498,-513,668,2943
MISO,"2/4/2021 11 a.m. CST",-32,-643,11,-1095,496,-51,-1460,-583,-534,750,2914
MISO,"2/4/2021 12 p.m. CST",-30,-718,15,-1042,396,-122,-1433,-559,-543,776,3011
MISO,"2/4/2021 1 p.m. CST",-27,-715,17,-1067,350,-38,-1430,-496,-544,880,3115
MISO,"2/4/2021 2 p.m. CST",-14,-695,8,-1045,321,158,-1325,-536,-547,1164,2800
MISO,"2/4/2021 3 p.m. CST",-1,-803,0,-969,247,115,-1299,-505,-590,1125,2830
MISO,"2/4/2021 4 p.m. CST",2,-846,3,-1066,211,51,-1403,-458,-660,1359,2848
MISO,"2/4/2021 5 p.m. CST",3,-777,1,-1201,250,-43,-1448,-461,-643,1399,2746
MISO,"2/4/2021 6 p.m. CST",13,-594,0,-1249,317,-251,-1496,-416,-584,1600,2594
MISO,"2/4/2021 7 p.m. CST",1,-442,-4,-1098,376,-174,-1549,-403,-573,1565,2712
MISO,"2/4/2021 8 p.m. CST",-6,-415,-9,-987,309,-177,-1765,-521,-607,1639,2605
MISO,"2/4/2021 9 p.m. CST",-1,-374,-15,-900,309,384,-1753,-540,-516,1252,2576
MISO,"2/4/2021 10 p.m. CST",-1,-439,-22,-806,266,454,-1910,-573,-517,1146,2565
MISO,"2/4/2021 11 p.m. CST",-1,-574,-24,-662,254,615,-2136,-522,-525,1041,2680
MISO,"2/5/2021 12 a.m. CST",-20,-532,-2,-857,147,417,-3175,-528,-484,918,2268
MISO,"2/5/2021 1 a.m. CST",-19,-616,27,-869,40,356,-3876,-545,-496,992,1869
MISO,"2/5/2021 2 a.m. CST",-19,-524,25,-897,117,469,-3710,-556,-508,1096,1608
MISO,"2/5/2021 3 a.m. CST",-17,-404,25,-998,163,486,-3411,-519,-499,1008,1608
MISO,"2/5/2021 4 a.m. CST",-23,-404,-17,-963,182,519,-3193,-521,-497,1194,1578
