datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
4/12/2020 7:00:00 PM,4/12/2020 3:00:00 PM,Multiple Fuels,694.5,0.01,False
4/12/2020 7:00:00 PM,4/12/2020 3:00:00 PM,Nuclear,27099.2,0.38,False
4/12/2020 7:00:00 PM,4/12/2020 3:00:00 PM,Oil,210.4,0.00,False
4/12/2020 7:00:00 PM,4/12/2020 3:00:00 PM,Other,33.7,0.00,False
4/12/2020 7:00:00 PM,4/12/2020 3:00:00 PM,Other Renewables,488.1,0.01,True
4/12/2020 7:00:00 PM,4/12/2020 3:00:00 PM,Solar,1065.9,0.02,True
4/12/2020 7:00:00 PM,4/12/2020 3:00:00 PM,Storage,0.0,0.00,False
4/12/2020 7:00:00 PM,4/12/2020 3:00:00 PM,Wind,4094.7,0.06,True
4/12/2020 6:00:00 PM,4/12/2020 2:00:00 PM,Coal,9315.7,0.13,False
4/12/2020 6:00:00 PM,4/12/2020 2:00:00 PM,Gas,26728.2,0.38,False
4/12/2020 6:00:00 PM,4/12/2020 2:00:00 PM,Hydro,959.2,0.01,True
4/12/2020 6:00:00 PM,4/12/2020 2:00:00 PM,Multiple Fuels,699.1,0.01,False
4/12/2020 6:00:00 PM,4/12/2020 2:00:00 PM,Nuclear,27087.8,0.38,False
4/12/2020 6:00:00 PM,4/12/2020 2:00:00 PM,Oil,210.3,0.00,False
4/12/2020 6:00:00 PM,4/12/2020 2:00:00 PM,Other,31.1,0.00,False
4/12/2020 6:00:00 PM,4/12/2020 2:00:00 PM,Other Renewables,496.6,0.01,True
4/12/2020 6:00:00 PM,4/12/2020 2:00:00 PM,Solar,1256.7,0.02,True
4/12/2020 6:00:00 PM,4/12/2020 2:00:00 PM,Storage,0.0,0.00,False
4/12/2020 6:00:00 PM,4/12/2020 2:00:00 PM,Wind,3700.6,0.05,True
4/12/2020 5:00:00 PM,4/12/2020 1:00:00 PM,Coal,9974.7,0.14,False
4/12/2020 5:00:00 PM,4/12/2020 1:00:00 PM,Gas,28052.5,0.39,False
4/12/2020 5:00:00 PM,4/12/2020 1:00:00 PM,Hydro,971.9,0.01,True
4/12/2020 5:00:00 PM,4/12/2020 1:00:00 PM,Multiple Fuels,710.2,0.01,False
4/12/2020 5:00:00 PM,4/12/2020 1:00:00 PM,Nuclear,27087.5,0.38,False
4/12/2020 5:00:00 PM,4/12/2020 1:00:00 PM,Oil,213.0,0.00,False
4/12/2020 5:00:00 PM,4/12/2020 1:00:00 PM,Other,33.8,0.00,False
4/12/2020 5:00:00 PM,4/12/2020 1:00:00 PM,Other Renewables,500.6,0.01,True
4/12/2020 5:00:00 PM,4/12/2020 1:00:00 PM,Solar,1272.8,0.02,True
4/12/2020 5:00:00 PM,4/12/2020 1:00:00 PM,Storage,0.0,0.00,False
4/12/2020 5:00:00 PM,4/12/2020 1:00:00 PM,Wind,2303.5,0.03,True
4/12/2020 4:00:00 PM,4/12/2020 12:00:00 PM,Coal,10486.2,0.14,False
4/12/2020 4:00:00 PM,4/12/2020 12:00:00 PM,Gas,28595.7,0.39,False
4/12/2020 4:00:00 PM,4/12/2020 12:00:00 PM,Hydro,1054.3,0.01,True
4/12/2020 4:00:00 PM,4/12/2020 12:00:00 PM,Multiple Fuels,711.8,0.01,False
4/12/2020 4:00:00 PM,4/12/2020 12:00:00 PM,Nuclear,27103.0,0.37,False
4/12/2020 4:00:00 PM,4/12/2020 12:00:00 PM,Oil,215.1,0.00,False
4/12/2020 4:00:00 PM,4/12/2020 12:00:00 PM,Other,30.5,0.00,False
4/12/2020 4:00:00 PM,4/12/2020 12:00:00 PM,Other Renewables,491.9,0.01,True
4/12/2020 4:00:00 PM,4/12/2020 12:00:00 PM,Solar,1108.1,0.02,True
4/12/2020 4:00:00 PM,4/12/2020 12:00:00 PM,Storage,0.0,0.00,False
4/12/2020 4:00:00 PM,4/12/2020 12:00:00 PM,Wind,2788.5,0.04,True
4/12/2020 3:00:00 PM,4/12/2020 11:00:00 AM,Coal,10722.6,0.15,False
4/12/2020 3:00:00 PM,4/12/2020 11:00:00 AM,Gas,27676.1,0.38,False
4/12/2020 3:00:00 PM,4/12/2020 11:00:00 AM,Hydro,1287.8,0.02,True
4/12/2020 3:00:00 PM,4/12/2020 11:00:00 AM,Multiple Fuels,721.9,0.01,False
4/12/2020 3:00:00 PM,4/12/2020 11:00:00 AM,Nuclear,27101.4,0.37,False
4/12/2020 3:00:00 PM,4/12/2020 11:00:00 AM,Oil,216.9,0.00,False
4/12/2020 3:00:00 PM,4/12/2020 11:00:00 AM,Other,31.6,0.00,False
4/12/2020 3:00:00 PM,4/12/2020 11:00:00 AM,Other Renewables,484.1,0.01,True
4/12/2020 3:00:00 PM,4/12/2020 11:00:00 AM,Solar,1181.3,0.02,True
4/12/2020 3:00:00 PM,4/12/2020 11:00:00 AM,Storage,0.0,0.00,False
4/12/2020 3:00:00 PM,4/12/2020 11:00:00 AM,Wind,3144.7,0.04,True
4/12/2020 2:00:00 PM,4/12/2020 10:00:00 AM,Coal,9372.7,0.13,False
4/12/2020 2:00:00 PM,4/12/2020 10:00:00 AM,Gas,26886.8,0.38,False
4/12/2020 2:00:00 PM,4/12/2020 10:00:00 AM,Hydro,1172.9,0.02,True
4/12/2020 2:00:00 PM,4/12/2020 10:00:00 AM,Multiple Fuels,722.9,0.01,False
4/12/2020 2:00:00 PM,4/12/2020 10:00:00 AM,Nuclear,27139.0,0.38,False
4/12/2020 2:00:00 PM,4/12/2020 10:00:00 AM,Oil,219.5,0.00,False
4/12/2020 2:00:00 PM,4/12/2020 10:00:00 AM,Other,32.7,0.00,False
4/12/2020 2:00:00 PM,4/12/2020 10:00:00 AM,Other Renewables,495.8,0.01,True
4/12/2020 2:00:00 PM,4/12/2020 10:00:00 AM,Solar,1359.2,0.02,True
4/12/2020 2:00:00 PM,4/12/2020 10:00:00 AM,Storage,0.0,0.00,False
4/12/2020 2:00:00 PM,4/12/2020 10:00:00 AM,Wind,3484.6,0.05,True
4/12/2020 1:00:00 PM,4/12/2020 9:00:00 AM,Coal,9305.7,0.13,False
4/12/2020 1:00:00 PM,4/12/2020 9:00:00 AM,Gas,27055.7,0.38,False
4/12/2020 1:00:00 PM,4/12/2020 9:00:00 AM,Hydro,1154.0,0.02,True
4/12/2020 1:00:00 PM,4/12/2020 9:00:00 AM,Multiple Fuels,553.0,0.01,False
4/12/2020 1:00:00 PM,4/12/2020 9:00:00 AM,Nuclear,27149.0,0.38,False
4/12/2020 1:00:00 PM,4/12/2020 9:00:00 AM,Oil,223.2,0.00,False
4/12/2020 1:00:00 PM,4/12/2020 9:00:00 AM,Other,32.4,0.00,False
4/12/2020 1:00:00 PM,4/12/2020 9:00:00 AM,Other Renewables,495.8,0.01,True
4/12/2020 1:00:00 PM,4/12/2020 9:00:00 AM,Solar,1202.5,0.02,True
4/12/2020 1:00:00 PM,4/12/2020 9:00:00 AM,Storage,0.0,0.00,False
4/12/2020 1:00:00 PM,4/12/2020 9:00:00 AM,Wind,3465.5,0.05,True
4/12/2020 12:00:00 PM,4/12/2020 8:00:00 AM,Coal,8875.7,0.13,False
4/12/2020 12:00:00 PM,4/12/2020 8:00:00 AM,Gas,26419.4,0.38,False
4/12/2020 12:00:00 PM,4/12/2020 8:00:00 AM,Hydro,1254.7,0.02,True
4/12/2020 12:00:00 PM,4/12/2020 8:00:00 AM,Multiple Fuels,569.9,0.01,False
4/12/2020 12:00:00 PM,4/12/2020 8:00:00 AM,Nuclear,27162.0,0.39,False
