date,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2020-06-20,171287.0,89258.0,384782.0
2020-06-21,129953.0,66681.0,272198.0
2020-06-22,125694.0,66752.0,295361.0
2020-06-23,148138.0,73960.0,336004.0
2020-06-24,146578.0,73039.0,332995.0
2020-06-25,145552.0,72670.0,329718.0
2020-06-26,165009.0,84875.0,376648.0
2020-06-27,146797.0,80185.0,335358.0
2020-06-28,118549.0,67211.0,260389.0
2020-06-29,129473.0,66000.0,300740.0
2020-06-30,142396.0,68031.0,319728.0
2020-07-01,145302.0,63899.0,313602.0
2020-07-02,150775.0,65045.0,319134.0
2020-07-03,164587.0,79632.0,361657.0
2020-07-04,120460.0,64083.0,266963.0
2020-07-05,112645.0,53963.0,233050.0
2020-07-06,129083.0,61301.0,290252.0
2020-07-07,133035.0,60382.0,294576.0
2020-07-08,130613.0,56970.0,282398.0
2020-07-09,147456.0,64520.0,319162.0
2020-07-10,168402.0,70090.0,358150.0
2020-07-11,157312.0,69945.0,333631.0
2020-07-12,120837.0,59440.0,252363.0
2020-07-13,133554.0,63057.0,300419.0
2020-07-14,138544.0,63050.0,304127.0
2020-07-15,141515.0,62600.0,309203.0
2020-07-16,147788.0,63038.0,318363.0
2020-07-17,167452.0,69311.0,357086.0
2020-07-18,154149.0,67737.0,329454.0
2020-07-19,123780.0,58429.0,256132.0
2020-07-20,131369.0,62413.0,297697.0
2020-07-21,139927.0,62843.0,308199.0
2020-07-22,147847.0,64491.0,323430.0
2020-07-23,156574.0,67704.0,337325.0
2020-07-24,174964.0,74295.0,375652.0
2020-07-25,145677.0,67154.0,317811.0
2020-07-26,121729.0,58456.0,255677.0
2020-07-27,137851.0,61998.0,305924.0
2020-07-28,141076.0,61352.0,308411.0
2020-07-29,145943.0,62415.0,318651.0
2020-07-30,161148.0,66759.0,347127.0
2020-07-31,180977.0,70995.0,381065.0
2020-08-01,160936.0,71341.0,347067.0
2020-08-02,134682.0,62437.0,279705.0
2020-08-03,140934.0,64621.0,311369.0
2020-08-04,147475.0,64033.0,319064.0
2020-08-05,150617.0,65539.0,325471.0
2020-08-06,154232.0,64305.0,326719.0
2020-08-07,175110.0,70618.0,370233.0
2020-08-08,164116.0,71327.0,350641.0
2020-08-09,127766.0,62931.0,272246.0
2020-08-10,138581.0,64110.0,306550.0
2020-08-11,144365.0,63901.0,312781.0
2020-08-12,145349.0,62296.0,312292.0
2020-08-13,148895.0,63182.0,318078.0
2020-08-14,174323.0,69359.0,364543.0
2020-08-15,168042.0,75850.0,363607.0
2020-08-16,130405.0,65879.0,277027.0
2020-08-17,132507.0,62583.0,293944.0
2020-08-18,141904.0,62868.0,307597.0
2020-08-19,143075.0,61522.0,308228.0
2020-08-20,152979.0,64529.0,324424.0
2020-08-21,189480.0,83064.0,403796.0
2020-08-22,178728.0,88549.0,391067.0
2020-08-23,133921.0,70434.0,286704.0
2020-08-24,128986.0,68761.0,298886.0
2020-08-25,144735.0,82586.0,342726.0
2020-08-26,125598.0,67604.0,289682.0
2020-08-27,124143.0,47140.0,257448.0
2020-08-28,144963.0,54939.0,303040.0
2020-08-29,168531.0,68045.0,350658.0
2020-08-30,124278.0,55181.0,252691.0
2020-08-31,125403.0,55551.0,271975.0
2020-09-01,146268.0,62770.0,314225.0
2020-09-02,149174.0,62020.0,317758.0
2020-09-03,159494.0,66512.0,337002.0
2020-09-04,182953.0,71592.0,381034.0
2020-09-05,180653.0,77927.0,386595.0
2020-09-06,143187.0,66785.0,296356.0
