LMP,Load,temperature
21.40,49222.18,9.00
22.26,51046.51,9.50
35.28,53065.12,10.20
48.45,53202.41,10.50
45.51,52976.34,10.40
43.60,52336.14,9.90
40.86,51030.99,8.80
45.85,49771.35,7.20
41.23,48716.38,5.90
42.44,48184.42,4.80
36.68,47972.08,3.80
32.77,48253.69,3.00
36.28,48925.73,2.40
31.90,49940.15,1.90
35.30,51365.04,1.50
39.30,52859.97,1.20
35.38,53020.91,1.00
26.36,51647.06,0.80
26.91,49262.61,0.60
27.98,46740.02,0.20
26.43,44273.84,-0.10
24.15,42197.06,0.00
21.68,40708.25,2.10
21.57,39856.40,4.60
22.18,39579.94,7.10
25.53,41020.29,9.50
39.03,43544.23,11.50
41.88,44874.60,12.80
41.67,45263.98,13.60
40.26,45315.77,13.60
37.69,44545.91,12.40
33.11,43720.62,8.20
35.61,43247.04,7.10
35.49,43358.19,7.20
36.21,43665.23,7.70
35.33,44481.34,7.80
34.62,45980.06,7.40
36.84,48506.02,6.80
42.04,51518.51,6.20
46.28,53621.83,5.50
43.13,52924.90,5.00
27.61,50318.17,4.40
26.97,47524.82,3.90
25.82,45145.97,3.20
25.53,43222.68,2.80
23.21,41749.75,3.30
22.01,40852.52,6.70
17.35,40448.15,9.60
17.44,40540.94,14.10
22.34,41438.74,17.10
25.04,43699.11,18.30
22.86,44179.84,19.00
24.54,43889.61,19.20
24.11,43002.93,19.00
22.27,41391.26,17.50
17.86,39752.61,13.80
21.92,38730.34,10.80
18.27,38355.99,9.40
22.22,38410.89,8.70
27.12,38859.88,8.30
25.54,40071.34,7.90
26.45,42620.49,7.40
24.78,46364.47,7.20
35.55,47812.02,7.10
29.22,46887.64,7.10
30.12,45149.34,7.10
22.05,43520.66,7.10
17.09,42269.19,7.20
13.11,41295.26,7.60
12.05,40816.57,9.10
10.57,40618.55,13.80
9.06,40616.44,17.10
14.98,40824.00,19.70
21.70,41255.22,21.00
54.06,42622.05,21.80
32.32,42380.32,22.00
28.54,41538.50,22.00
23.43,40062.58,21.50
33.26,38007.58,20.30
24.83,35900.09,18.10
22.80,34377.35,16.80
22.47,33444.47,16.00
21.93,33017.30,15.60
22.47,33159.23,15.40
22.44,33794.16,15.30
27.36,35704.25,15.40
46.20,38856.04,15.40
31.74,40539.26,15.40
26.57,40805.93,15.40
19.43,41368.69,15.50
18.64,41813.11,15.60
16.23,41975.85,15.80
29.80,42189.96,15.80
29.93,42592.41,16.50
25.25,42790.95,18.50
16.39,42994.00,20.30
20.37,43584.98,22.30
20.71,44811.65,23.80
23.21,46516.05,24.40
23.33,46766.21,24.50
28.55,46559.03,24.10
28.09,45803.11,23.40
24.19,44078.93,22.10
22.54,42627.74,20.20
12.88,42045.67,19.40
15.28,42113.58,19.10
15.40,42626.50,18.70
16.19,43784.37,18.00
15.60,45642.96,16.20
16.72,48829.19,12.80
23.65,53460.47,9.40
25.75,56565.01,7.50
26.67,57928.45,6.50
31.07,59072.67,5.80
32.16,59501.60,5.50
32.29,59311.11,5.70
29.04,58552.31,5.90
27.88,57725.88,6.00
24.89,56872.81,6.20
24.39,56876.85,6.50
27.89,58078.32,6.90
32.92,60073.19,7.00
46.87,61988.85,7.00
45.04,61873.97,6.80
45.55,61157.66,6.30
46.01,59629.41,5.50
44.82,57252.45,4.90
40.32,55337.51,4.20
37.09,54146.34,3.80
35.86,53659.90,3.50
36.19,53568.83,3.30
39.48,54078.05,3.10
42.73,55335.97,2.80
44.08,57870.63,2.40
52.41,61493.95,1.80
70.37,63525.67,1.60
53.71,62884.97,1.60
41.74,61373.65,1.70
39.10,59346.27,1.70
31.84,56551.88,1.60
26.23,53641.98,1.50
24.87,51153.85,1.60
22.39,48966.97,2.20
20.37,47741.83,3.20
20.36,47673.27,4.70
23.39,49186.81,6.40
30.24,52293.14,7.90
26.79,53415.91,9.20
26.10,53898.18,10.20
24.72,53752.82,10.60
23.51,52719.39,9.90
22.94,51588.33,6.10
22.95,50808.91,4.50
28.24,50634.60,3.80
32.72,50795.10,3.20
36.97,51438.32,2.70
38.38,52502.14,2.10
42.90,54167.01,1.30
41.13,56281.88,0.70
47.10,58030.04,0.10
44.58,57867.20,-0.50
37.24,55941.55,-0.90
40.10,53525.10,-1.20
