,completely_home_device_count_percentage,median_home_dwell_time_percentage,part_time_work_behavior_devices_percentage,full_time_work_behavior_devices_percentage,completely_home_device_count,device_count,part_time_work_behavior_devices,full_time_work_behavior_devices
2020-02-23,30.830799103382304,55.34722222222223,5.029339958024585,2.476263902571351,107971.0,350204.0,17613.0,8672.0
2020-02-24,23.082949295908154,46.041666666666664,11.119103178519554,10.048816662902961,82796.0,358688.0,39883.0,36044.0
2020-02-25,43.57437637068807,39.166666666666664,6.600369478085195,4.815639078249409,161335.0,370251.0,24438.0,17830.0
2020-02-26,22.70893882184348,42.84722222222222,12.159685266736977,9.405769215286892,84621.0,372632.0,45311.0,35049.0
2020-02-27,22.998186236868108,45.0,13.160103816609006,9.975421995799996,83560.0,363332.0,47815.0,36244.0
2020-02-28,22.01880157295715,43.47222222222222,11.853768110083902,9.907782211263621,76263.0,346353.0,41056.0,34316.0
2020-02-29,28.351912163175964,51.59722222222223,5.619838601012642,2.896414565331874,96369.0,339902.0,19102.0,9845.0
2020-03-01,36.324696477287404,57.36111111111111,5.034690119331984,2.5082260797758757,143403.0,394780.0,19876.0,9902.0
2020-03-02,25.727679469133317,46.94444444444444,10.638950331791674,9.443746229640055,102355.0,397839.0,42326.0,37571.0
2020-03-03,24.446977787911152,46.666666666666664,11.376285505142022,10.073800295201181,101862.0,416664.0,47401.0,41974.0
2020-03-04,24.414375374307987,47.36111111111111,10.721398000769309,8.921798236431183,100284.0,410757.0,44039.0,36647.0
2020-03-05,22.795924686030535,45.55555555555556,10.941279486038276,8.94184066412524,94242.0,413415.0,45233.0,36967.0
2020-03-06,22.874743326488705,44.23611111111111,10.289564607950423,8.077315594683323,93019.0,406644.0,41842.0,32846.0
2020-03-07,29.360205309487075,50.83333333333333,6.102864446807767,3.0521811636534304,117607.0,400565.0,24446.0,12226.0
2020-03-08,31.592268577986882,55.486111111111114,4.859374564543794,2.4101788442390566,124695.0,394700.0,19180.0,9513.0
2020-03-09,23.666003697265126,46.52777777777778,10.96529680822817,9.117916706327934,94478.0,399213.0,43775.0,36400.0
2020-03-10,25.480371213827958,48.888888888888886,10.959982411044127,9.83868647414722,93873.0,368412.0,40378.0,36247.0
2020-03-11,25.920658599307554,49.51388888888889,11.429191668429315,10.095516938114375,93135.0,359307.0,41066.0,36274.0
2020-03-12,27.74444110166015,49.375,10.191450373328228,9.110849766157044,101442.0,365629.0,37263.0,33312.0
2020-03-13,27.38417921916193,47.56944444444444,9.556588900812104,6.626127737371329,103352.0,377414.0,36068.0,25008.0
2020-03-14,35.267781306414605,58.47222222222223,4.709530486558389,2.9480273064664266,122491.0,347316.0,16357.0,10239.0
2020-03-15,38.450277722010306,61.875,4.006335184813402,2.498661580673225,137895.0,358631.0,14368.0,8961.0
2020-03-16,38.3205175632058,56.041666666666664,5.845459602791136,4.940684116446073,135701.0,354120.0,20700.0,17496.0
2020-03-17,40.03811244583092,58.05555555555556,5.559900060697599,4.8219301836455255,141821.0,354214.0,19694.0,17080.0
2020-03-18,40.70615857999035,59.02777777777778,5.417173758295254,4.649647523479299,141817.0,348391.0,18873.0,16199.0
2020-03-19,43.08446267798443,58.88888888888889,5.014604951092725,4.24244504905032,150597.0,349538.0,17528.0,14829.0
2020-03-20,42.4387106716931,47.22222222222222,3.998624842923868,2.912428574815658,143195.0,337415.0,13492.0,9827.0
2020-03-21,47.489289045578865,45.55555555555556,3.2940730083948586,2.547230961377326,150192.0,316264.0,10418.0,8056.0
2020-03-22,50.44806811893143,55.06944444444445,3.451225033958847,2.752867635961161,160441.0,318031.0,10976.0,8755.0
2020-03-23,53.047541105572506,64.02777777777777,4.2359943456588045,3.816680306524812,178253.0,336024.0,14234.0,12825.0
2020-03-24,48.929989957883066,65.48611111111111,3.7719390278631275,3.223069890136243,163228.0,333594.0,12583.0,10752.0
2020-03-25,49.02745945695352,68.40277777777779,3.842933181118834,3.1336290698786247,169207.0,345126.0,13263.0,10815.0
2020-03-26,49.90792239438978,71.45833333333333,3.807424493263144,3.2952621886567828,160980.0,322553.0,12281.0,10629.0
2020-03-27,49.1543849295709,72.5,3.9403022161482193,3.324688232827569,158255.0,321954.0,12686.0,10704.0
2020-03-28,54.94197956520917,81.875,3.483747344800852,2.9798110317615394,174332.0,317301.0,11054.0,9455.0
2020-03-29,56.40989341487661,83.4375,3.1358928863553426,2.6957730882001334,179309.0,317867.0,9968.0,8569.0
2020-03-30,52.15014953078272,70.79861111111111,3.8347214723777516,3.2820945228663807,171938.0,329697.0,12643.0,10821.0
2020-03-31,52.784114681154506,72.29166666666667,3.8827657605658326,3.413376821287109,172840.0,327446.0,12714.0,11177.0
2020-04-01,56.61183073924316,74.375,2.899261732752004,2.4281844533947368,214633.0,379130.0,10992.0,9206.0
2020-04-02,57.37405791352638,75.76388888888889,3.8476794922649744,3.347613380933492,216960.0,378149.0,14550.0,12659.0
2020-04-03,57.704370438675944,76.38888888888889,3.790506189664036,3.247839533877904,212138.0,367628.0,13935.0,11940.0
2020-04-04,56.516038184932974,77.56944444444444,2.5303646609790236,2.047209529700501,198269.0,350818.0,8877.0,7182.0
2020-04-05,57.77468560040136,80.83333333333333,2.774644022319115,2.4337037478483343,208432.0,360766.0,10010.0,8780.0
2020-04-06,55.93714882232478,74.30555555555556,3.0564223088024733,2.6785052166819736,196119.0,350605.0,10716.0,9391.0
2020-04-07,56.42260219813814,76.66666666666667,3.3874490368815713,2.952406987715941,191948.0,340196.0,11524.0,10044.0
2020-04-08,56.23739759858941,77.95138888888889,3.2444652460724663,2.9083030875699483,191048.0,339716.0,11022.0,9880.0
2020-04-09,57.56585317192534,79.02777777777777,3.1290892340552876,2.7954957545315318,196204.0,340833.0,10665.0,9528.0
2020-04-10,55.53281521418997,78.88888888888889,2.9097619176418967,2.51846776180945,184781.0,332741.0,9682.0,8380.0
2020-04-11,56.0382664380194,78.47222222222221,3.2870042811401983,2.782141529458322,186919.0,333555.0,10964.0,9280.0
2020-04-12,59.18619102699776,83.33333333333334,2.5665715059188345,2.218332389929368,192393.0,325063.0,8343.0,7211.0
2020-04-13,59.65804749990756,79.65277777777777,3.246977334631549,3.0279034226062094,193619.0,324547.0,10538.0,9827.0
2020-04-14,54.439540167268184,78.47222222222221,3.349077920228802,2.96278871094548,175880.0,323073.0,10820.0,9572.0
2020-04-15,55.095356150790565,79.02777777777777,3.8335318947738424,3.5090939066004316,177120.0,321478.0,12324.0,11281.0
2020-04-16,55.476738541519865,75.55555555555556,3.7810244123956718,3.3331767432392225,177140.0,319304.0,12073.0,10643.0
2020-04-17,53.752590831982396,76.04166666666666,3.5912615666341603,3.1544653243988177,171424.0,318912.0,11453.0,10060.0
2020-04-18,55.86688670629516,80.34722222222223,2.513899347892266,2.219729863970647,174341.0,312064.0,7845.0,6927.0
2020-04-19,55.624780119614925,82.01388888888889,3.1090286883935137,2.6801420027505034,173922.0,312669.0,9721.0,8380.0
2020-04-20,54.01640598409363,74.54861111111111,3.731471448778919,3.4245227932015396,172987.0,320248.0,11950.0,10967.0
2020-04-21,55.48900378677541,73.125,3.6429507719196037,3.2739829109622294,182874.0,329567.0,12006.0,10790.0
2020-04-22,52.15090520837412,72.08333333333333,3.948521638561184,3.535297253503522,173153.0,332022.0,13110.0,11738.0
2020-04-23,53.18865607024286,66.59722222222221,3.391443408043391,2.947561079424534,174946.0,328915.0,11155.0,9695.0
2020-04-24,54.12283959522048,64.02777777777777,3.4277962106400417,3.034004794249356,176336.0,325806.0,11168.0,9885.0
2020-04-25,50.885847606600834,73.05555555555556,3.3939851330995614,2.7739685052414567,165867.0,325958.0,11063.0,9042.0
2020-04-26,57.84307963561564,81.45833333333333,2.8894009929319333,2.5243979770171827,186998.0,323284.0,9341.0,8161.0
2020-04-27,48.98232353056966,65.83333333333333,3.5558866549772414,2.986254326752732,161746.0,330212.0,11742.0,9861.0
2020-04-28,52.841914224694996,72.01388888888889,3.6972535648050546,3.3901930051298974,172950.0,327296.0,12101.0,11096.0
2020-04-29,51.512055449391084,60.763888888888886,3.568387792556714,3.229397259064449,163354.0,317117.0,11316.0,10241.0
2020-04-30,52.42388916149155,65.52083333333333,3.779523129381394,3.436043767834205,167736.0,319960.0,12093.0,10994.0
2020-05-01,54.93506151065121,66.45833333333333,3.135446483243145,2.6590648740342724,187506.0,341322.0,10702.0,9076.0
2020-05-02,50.14231137141214,68.40277777777779,2.7623077329358394,2.3045639403524625,170886.0,340801.0,9414.0,7854.0
2020-05-03,54.52654465508498,76.04166666666666,2.97741054862699,2.5483354741537685,179563.0,329312.0,9805.0,8392.0
2020-05-04,54.139451412013365,70.625,3.4157815187677194,3.0270418521179456,181607.0,335442.0,11458.0,10154.0
2020-05-05,54.00234479020608,71.00694444444444,3.407015518033676,3.0479326962730795,183325.0,339475.0,11566.0,10347.0
2020-05-06,55.42695281334841,70.48611111111111,3.6639823674256555,3.288314401657646,193133.0,348445.0,12767.0,11458.0
2020-05-07,52.179192975954614,66.73611111111111,3.8273065465585314,3.2620191279807296,183042.0,350794.0,13426.0,11443.0
2020-05-08,54.64184809705833,67.77777777777779,3.727318053394171,3.2118089655068216,180829.0,330934.0,12335.0,10629.0
2020-05-09,53.93405031619303,71.66666666666667,2.902765420008241,2.385032933041126,180637.0,334921.0,9722.0,7988.0
2020-05-10,52.24736217805557,73.54166666666667,2.7122163620390283,2.1821376488997615,176629.0,338062.0,9169.0,7377.0
2020-05-11,55.67563574035492,70.06944444444444,4.169215538513823,3.7516438376405574,188398.0,338384.0,14108.0,12695.0
2020-05-12,52.39075665989166,67.70833333333334,3.9541411137409486,3.4432292445719277,178631.0,340958.0,13482.0,11740.0
2020-05-13,51.81591623537286,67.70833333333334,3.9581415918625913,3.442680754933483,173403.0,334651.0,13246.0,11521.0
2020-05-14,51.08008734323105,67.15277777777777,4.030884187260568,3.3811429875058883,172405.0,337518.0,13605.0,11412.0
2020-05-15,48.294188747215244,63.541666666666664,3.971536237379722,3.168993221785088,163018.0,337551.0,13406.0,10697.0
2020-05-16,47.55340542363085,66.04166666666667,3.413852897259284,2.587784788786667,157961.0,332175.0,11340.0,8596.0
2020-05-17,52.387226265095364,69.72222222222221,2.894329636814191,2.2417388964264493,186882.0,356731.0,10325.0,7997.0
2020-05-18,51.184067242430906,63.47222222222222,3.4643331597314093,2.877243015771781,183781.0,359058.0,12439.0,10331.0
2020-05-19,52.06565975803142,64.44444444444444,3.7850560564223694,3.2377989953092254,187805.0,360707.0,13653.0,11679.0
2020-05-20,50.53135423335971,63.68055555555555,3.644690232084793,2.9759192106712593,180736.0,357670.0,13036.0,10644.0
2020-05-21,49.49467862230789,61.875,4.322467108019777,3.602893935584793,177186.0,357989.0,15474.0,12898.0
2020-05-22,47.29030849707726,60.34722222222222,3.786480244275138,2.9798656271138935,175474.0,371056.0,14050.0,11057.0
2020-05-23,52.61935152361612,64.86111111111111,3.3221910335006952,2.574663886102555,192520.0,365872.0,12155.0,9420.0
2020-05-24,47.96266260633544,61.875,3.173788796575199,2.3421380733286994,173880.0,362531.0,11506.0,8491.0
2020-05-25,48.10306289708612,62.15277777777778,3.5202319186117395,2.6424091358593316,177546.0,369094.0,12993.0,9753.0
2020-05-26,46.935398920695675,57.84722222222223,4.363819865928011,3.495192214890208,170207.0,362640.0,15825.0,12675.0
2020-05-27,46.49768585891444,60.27777777777777,3.8102004828023075,2.9233508534643633,162953.0,350453.0,13353.0,10245.0
2020-05-28,48.58448170407785,61.66666666666667,3.8808661668298647,3.1825112635571875,169194.0,348246.0,13515.0,11083.0
2020-05-29,44.642756617390425,58.99305555555555,3.773122867854851,3.010617097693061,158605.0,355275.0,13405.0,10696.0
2020-05-30,43.43178896775275,59.166666666666664,3.223886436036439,2.2782652433912705,155425.0,357859.0,11537.0,8153.0
2020-05-31,47.635849025373936,60.48611111111111,2.9564301044419556,2.1613912352619877,172679.0,362497.0,10717.0,7835.0
