date,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2020-06-21,128819.0,36052.0,192034.0
2020-06-22,169861.0,43934.0,263066.0
2020-06-23,174217.0,44488.0,267470.0
2020-06-24,178593.0,45778.0,277756.0
2020-06-25,181027.0,46517.0,280275.0
2020-06-26,192060.0,48485.0,294754.0
2020-06-27,148663.0,40863.0,233948.0
2020-06-28,136543.0,37387.0,207938.0
2020-06-29,167119.0,44158.0,265619.0
2020-06-30,171219.0,44956.0,272310.0
2020-07-01,171016.0,41656.0,263315.0
2020-07-02,173034.0,42239.0,264395.0
2020-07-03,164306.0,45279.0,260648.0
2020-07-04,138758.0,34241.0,200095.0
2020-07-05,130445.0,31716.0,190557.0
2020-07-06,152271.0,37253.0,237038.0
2020-07-07,167413.0,40438.0,257436.0
2020-07-08,154364.0,37474.0,237384.0
2020-07-09,180999.0,42154.0,272593.0
2020-07-10,145276.0,36019.0,227821.0
2020-07-11,156192.0,39847.0,243085.0
2020-07-12,138148.0,33206.0,200465.0
2020-07-13,175612.0,42328.0,268879.0
2020-07-14,180358.0,42183.0,272876.0
2020-07-15,184823.0,42316.0,277899.0
2020-07-16,183696.0,42172.0,275677.0
2020-07-17,188137.0,43854.0,286972.0
2020-07-18,165320.0,38043.0,243739.0
2020-07-19,136019.0,32428.0,197984.0
2020-07-20,167072.0,39612.0,254532.0
2020-07-21,181121.0,41448.0,272772.0
2020-07-22,178284.0,41865.0,272470.0
2020-07-23,181464.0,43103.0,277972.0
2020-07-24,187742.0,44209.0,287965.0
2020-07-25,181992.0,41916.0,268383.0
2020-07-26,149516.0,35341.0,217555.0
2020-07-27,175113.0,41046.0,265879.0
2020-07-28,184688.0,42387.0,279519.0
2020-07-29,191580.0,42994.0,286802.0
2020-07-30,195169.0,44035.0,291661.0
2020-07-31,197397.0,44802.0,298263.0
2020-08-01,181580.0,40028.0,260164.0
2020-08-02,153635.0,36475.0,222397.0
2020-08-03,188507.0,44964.0,282797.0
2020-08-04,154410.0,36105.0,233383.0
2020-08-05,197271.0,44393.0,293632.0
2020-08-06,195035.0,43756.0,289780.0
2020-08-07,189067.0,43348.0,285012.0
2020-08-08,170411.0,39093.0,249129.0
2020-08-09,143474.0,33625.0,204836.0
2020-08-10,171057.0,39674.0,255563.0
2020-08-11,176685.0,40687.0,263175.0
2020-08-12,170993.0,39460.0,256791.0
2020-08-13,167561.0,39078.0,254319.0
2020-08-14,189066.0,42725.0,281652.0
2020-08-15,170846.0,38110.0,247911.0
2020-08-16,121027.0,30538.0,184309.0
2020-08-17,168962.0,39487.0,255223.0
2020-08-18,182021.0,40839.0,270300.0
2020-08-19,173438.0,39646.0,261369.0
2020-08-20,193329.0,42810.0,285859.0
2020-08-21,217526.0,47296.0,320467.0
2020-08-22,180796.0,40083.0,261586.0
2020-08-23,146660.0,34242.0,211723.0
