,0
827,Somervell
828,Eastland
829,Tarrant
830,Dallas
831,Coryell
832,Delta
833,Ellis
834,Hill
835,Milam
836,Dallas
837,Dallas
838,Dallas
839,Navarro
840,Limestone
841,Denton
842,Bell
843,Bell
844,Bell
845,Bell
846,Bell
847,Bell
848,Hunt
849,Wise
850,Erath
851,Tarrant
852,Fannin
853,Dallas
854,Hill
855,Tarrant
856,Tarrant
857,Johnson
858,Dallas
859,Collin
860,Collin
861,Collin
862,Collin
863,Collin
864,Collin
865,Collin
866,Collin
867,Collin
868,Collin
869,Collin
870,Parker
871,Denton
872,Dallas
873,Dallas
874,Tarrant
875,Dallas
876,Parker
877,Dallas
878,Bosque
879,Denton
880,Dallas
881,Hood
882,Hood
883,Hood
884,Hood
885,Hood
886,Dallas
887,Dallas
888,Dallas
889,Dallas
890,Dallas
891,Hill
892,Falls
893,Dallas
894,Tarrant
895,Collin
896,Tarrant
897,Ellis
898,Callahan
899,Dallas
900,Dallas
901,Jack
902,Parker
903,Tarrant
904,Dallas
905,Denton
906,Denton
907,Denton
908,Dallas
909,Hill
910,Tarrant
911,Shackelford
912,Hill
913,Dallas
914,Dallas
915,Dallas
916,Dallas
917,Dallas
918,Dallas
919,Ellis
920,Dallas
921,Collin
922,McLennan
923,McLennan
924,McLennan
925,Jack
926,Jack
927,Jack
928,Jack
929,Jack
930,Jack
931,Jack
932,Jack
933,Jack
934,Denton
935,Dallas
936,Dallas
937,Tarrant
938,Dallas
939,Tarrant
940,Dallas
941,Bell
942,McLennan
943,Tarrant
944,Ellis
945,Ellis
946,Ellis
947,Ellis
948,Dallas
949,Dallas
950,Collin
951,Tarrant
952,McLennan
953,McLennan
954,Bell
955,Bell
956,Bell
957,McLennan
958,Shackelford
959,Shackelford
960,Shackelford
961,Shackelford
962,Shackelford
963,Shackelford
964,Collin
965,Hood
966,Hood
967,Hood
968,Hood
969,Hood
970,Hood
971,Bosque
972,Collin
973,Tarrant
974,Bell
975,Bell
976,Collin
977,Palo Pinto
978,Palo Pinto
979,Palo Pinto
980,Palo Pinto
981,Palo Pinto
982,Palo Pinto
983,Palo Pinto
