station,valid,tmpc,dwpc,relh,sped
SYR,2021-09-06 06:54,16.11,15.61,96.85,6.90
SYR,2021-09-06 06:55,M,M,M,5.75
LGA,2021-09-06 06:55,M,M,M,5.75
SYR,2021-09-06 07:00,M,M,M,0.00
LGA,2021-09-06 07:00,M,M,M,8.05
LGA,2021-09-06 07:05,M,M,M,9.20
SYR,2021-09-06 07:05,M,M,M,0.00
SYR,2021-09-06 07:10,M,M,M,0.00
LGA,2021-09-06 07:10,M,M,M,10.35
SYR,2021-09-06 07:15,M,M,M,0.00
LGA,2021-09-06 07:15,M,M,M,11.50
SYR,2021-09-06 07:20,M,M,M,2.30
LGA,2021-09-06 07:20,M,M,M,11.50
LGA,2021-09-06 07:25,M,M,M,10.35
SYR,2021-09-06 07:25,M,M,M,5.75
SYR,2021-09-06 07:30,M,M,M,5.75
LGA,2021-09-06 07:30,M,M,M,10.35
LGA,2021-09-06 07:33,22.22,20.00,87.24,9.20
SYR,2021-09-06 07:35,M,M,M,4.60
LGA,2021-09-06 07:35,M,M,M,8.05
SYR,2021-09-06 07:40,M,M,M,2.30
LGA,2021-09-06 07:40,M,M,M,8.05
LGA,2021-09-06 07:45,M,M,M,8.05
SYR,2021-09-06 07:45,M,M,M,4.60
SYR,2021-09-06 07:50,M,M,M,8.05
LGA,2021-09-06 07:50,M,M,M,8.05
LGA,2021-09-06 07:51,22.22,20.00,87.24,9.20
SYR,2021-09-06 07:54,18.89,16.11,83.91,9.20
SYR,2021-09-06 07:55,M,M,M,9.20
LGA,2021-09-06 07:55,M,M,M,5.75
SYR,2021-09-06 08:00,M,M,M,9.20
LGA,2021-09-06 08:00,M,M,M,8.05
SYR,2021-09-06 08:05,M,M,M,10.35
LGA,2021-09-06 08:05,M,M,M,9.20
LGA,2021-09-06 08:05,22.22,20.00,87.24,9.20
SYR,2021-09-06 08:10,M,M,M,10.35
LGA,2021-09-06 08:10,M,M,M,10.35
LGA,2021-09-06 08:15,M,M,M,8.05
SYR,2021-09-06 08:15,M,M,M,11.50
SYR,2021-09-06 08:20,M,M,M,10.35
LGA,2021-09-06 08:20,M,M,M,11.50
SYR,2021-09-06 08:25,M,M,M,11.50
LGA,2021-09-06 08:25,M,M,M,11.50
SYR,2021-09-06 08:30,M,M,M,11.50
LGA,2021-09-06 08:30,M,M,M,10.35
SYR,2021-09-06 08:35,M,M,M,12.65
LGA,2021-09-06 08:35,M,M,M,10.35
SYR,2021-09-06 08:40,M,M,M,10.35
LGA,2021-09-06 08:40,M,M,M,9.20
LGA,2021-09-06 08:45,M,M,M,9.20
SYR,2021-09-06 08:45,M,M,M,12.65
SYR,2021-09-06 08:50,M,M,M,10.35
LGA,2021-09-06 08:50,M,M,M,10.35
LGA,2021-09-06 08:51,22.22,19.39,83.99,10.35
SYR,2021-09-06 08:54,20.61,16.11,75.40,13.80
LGA,2021-09-06 08:55,M,M,M,9.20
SYR,2021-09-06 08:55,M,M,M,12.65
SYR,2021-09-06 09:00,M,M,M,10.35
LGA,2021-09-06 09:00,M,M,M,9.20
LGA,2021-09-06 09:05,M,M,M,9.20
SYR,2021-09-06 09:05,M,M,M,8.05
LGA,2021-09-06 09:10,M,M,M,11.50
SYR,2021-09-06 09:10,M,M,M,9.20
SYR,2021-09-06 09:15,M,M,M,10.35
LGA,2021-09-06 09:15,M,M,M,10.35
SYR,2021-09-06 09:20,M,M,M,14.95
LGA,2021-09-06 09:20,M,M,M,10.35
LGA,2021-09-06 09:25,M,M,M,11.50
SYR,2021-09-06 09:25,M,M,M,10.35
LGA,2021-09-06 09:30,M,M,M,11.50
SYR,2021-09-06 09:30,M,M,M,11.50
SYR,2021-09-06 09:35,M,M,M,10.35
LGA,2021-09-06 09:35,M,M,M,11.50
SYR,2021-09-06 09:40,M,M,M,12.65
LGA,2021-09-06 09:40,M,M,M,10.35
LGA,2021-09-06 09:45,M,M,M,10.35
SYR,2021-09-06 09:45,M,M,M,10.35
SYR,2021-09-06 09:50,M,M,M,9.20
LGA,2021-09-06 09:50,M,M,M,11.50
LGA,2021-09-06 09:51,23.28,18.89,76.36,12.65
SYR,2021-09-06 09:54,20.00,16.72,81.41,11.50
SYR,2021-09-06 09:55,M,M,M,10.35
LGA,2021-09-06 09:55,M,M,M,10.35
SYR,2021-09-06 10:00,M,M,M,12.65
LGA,2021-09-06 10:00,M,M,M,10.35
LGA,2021-09-06 10:05,M,M,M,11.50
SYR,2021-09-06 10:05,M,M,M,16.10
LGA,2021-09-06 10:10,M,M,M,8.05
SYR,2021-09-06 10:10,M,M,M,18.40
LGA,2021-09-06 10:15,M,M,M,10.35
SYR,2021-09-06 10:15,M,M,M,24.15
LGA,2021-09-06 10:20,M,M,M,9.20
SYR,2021-09-06 10:20,M,M,M,18.40
SYR,2021-09-06 10:25,M,M,M,12.65
LGA,2021-09-06 10:25,M,M,M,10.35
LGA,2021-09-06 10:30,M,M,M,9.20
LGA,2021-09-06 10:35,M,M,M,10.35
SYR,2021-09-06 10:40,M,M,M,12.65
LGA,2021-09-06 10:40,M,M,M,10.35
LGA,2021-09-06 10:45,M,M,M,5.75
SYR,2021-09-06 10:50,M,M,M,17.25
LGA,2021-09-06 10:50,M,M,M,5.75
LGA,2021-09-06 10:51,25.00,17.22,62.00,6.90
SYR,2021-09-06 10:54,20.00,15.61,75.84,16.10
LGA,2021-09-06 10:55,M,M,M,8.05
SYR,2021-09-06 10:55,M,M,M,17.25
LGA,2021-09-06 11:00,M,M,M,10.35
SYR,2021-09-06 11:00,M,M,M,12.65
LGA,2021-09-06 11:05,M,M,M,5.75
SYR,2021-09-06 11:05,M,M,M,12.65
SYR,2021-09-06 11:10,M,M,M,16.10
LGA,2021-09-06 11:10,M,M,M,5.75
SYR,2021-09-06 11:15,M,M,M,9.20
LGA,2021-09-06 11:15,M,M,M,8.05
SYR,2021-09-06 11:20,M,M,M,9.20
LGA,2021-09-06 11:20,M,M,M,5.75
LGA,2021-09-06 11:25,M,M,M,11.50
SYR,2021-09-06 11:25,M,M,M,12.65
SYR,2021-09-06 11:30,M,M,M,11.50
LGA,2021-09-06 11:30,M,M,M,8.05
LGA,2021-09-06 11:35,M,M,M,12.65
SYR,2021-09-06 11:35,M,M,M,12.65
SYR,2021-09-06 11:40,M,M,M,18.40
LGA,2021-09-06 11:40,M,M,M,12.65
LGA,2021-09-06 11:45,M,M,M,9.20
SYR,2021-09-06 11:45,M,M,M,17.25
LGA,2021-09-06 11:50,M,M,M,11.50
SYR,2021-09-06 11:50,M,M,M,18.40
LGA,2021-09-06 11:51,26.72,15.00,48.58,12.65
SYR,2021-09-06 11:54,21.11,13.89,63.37,18.40
LGA,2021-09-06 11:55,M,M,M,10.35
SYR,2021-09-06 11:55,M,M,M,19.55
SYR,2021-09-06 12:00,M,M,M,16.10
LGA,2021-09-06 12:00,M,M,M,11.50
SYR,2021-09-06 12:05,M,M,M,16.10
LGA,2021-09-06 12:05,M,M,M,10.35
LGA,2021-09-06 12:10,M,M,M,8.05
SYR,2021-09-06 12:10,M,M,M,12.65
SYR,2021-09-06 12:15,M,M,M,14.95
LGA,2021-09-06 12:15,M,M,M,11.50
SYR,2021-09-06 12:20,M,M,M,21.85
LGA,2021-09-06 12:20,M,M,M,11.50
SYR,2021-09-06 12:25,M,M,M,19.55
LGA,2021-09-06 12:25,M,M,M,14.95
SYR,2021-09-06 12:30,M,M,M,20.70
LGA,2021-09-06 12:30,M,M,M,12.65
SYR,2021-09-06 12:35,M,M,M,19.55
LGA,2021-09-06 12:35,M,M,M,16.10
SYR,2021-09-06 12:40,M,M,M,18.40
LGA,2021-09-06 12:40,M,M,M,11.50
LGA,2021-09-06 12:45,M,M,M,10.35
SYR,2021-09-06 12:45,M,M,M,14.95
SYR,2021-09-06 12:50,M,M,M,17.25
LGA,2021-09-06 12:50,M,M,M,11.50
LGA,2021-09-06 12:51,28.28,13.28,39.66,10.35
SYR,2021-09-06 12:54,22.78,13.28,55.00,14.95
LGA,2021-09-06 12:55,M,M,M,11.50
SYR,2021-09-06 12:55,M,M,M,14.95
SYR,2021-09-06 13:00,M,M,M,18.40
LGA,2021-09-06 13:00,M,M,M,14.95
LGA,2021-09-06 13:05,M,M,M,12.65
LGA,2021-09-06 13:10,M,M,M,14.95
SYR,2021-09-06 13:10,M,M,M,19.55
LGA,2021-09-06 13:15,M,M,M,11.50
SYR,2021-09-06 13:15,M,M,M,18.40
SYR,2021-09-06 13:20,M,M,M,17.25
LGA,2021-09-06 13:20,M,M,M,9.20
SYR,2021-09-06 13:25,M,M,M,18.40
LGA,2021-09-06 13:25,M,M,M,17.25
SYR,2021-09-06 13:30,M,M,M,17.25
LGA,2021-09-06 13:30,M,M,M,17.25
LGA,2021-09-06 13:35,M,M,M,12.65
SYR,2021-09-06 13:35,M,M,M,19.55
SYR,2021-09-06 13:40,M,M,M,17.25
LGA,2021-09-06 13:40,M,M,M,17.25
LGA,2021-09-06 13:45,M,M,M,14.95
SYR,2021-09-06 13:45,M,M,M,14.95
SYR,2021-09-06 13:50,M,M,M,16.10
LGA,2021-09-06 13:50,M,M,M,12.65
LGA,2021-09-06 13:51,28.89,12.78,37.05,12.65
SYR,2021-09-06 13:54,23.89,12.78,49.78,14.95
SYR,2021-09-06 13:55,M,M,M,12.65
LGA,2021-09-06 13:55,M,M,M,16.10
LGA,2021-09-06 14:00,M,M,M,18.40
SYR,2021-09-06 14:00,M,M,M,14.95
SYR,2021-09-06 14:05,M,M,M,17.25
