station,valid,tmpc,dwpc,relh,sped
CMH,2020-06-11 03:20,M,M,M,0.00
RIC,2020-06-11 03:25,M,M,M,12.65
MDW,2020-06-11 03:25,M,M,M,11.50
PHL,2020-06-11 03:25,M,M,M,11.50
CMH,2020-06-11 03:25,M,M,M,0.00
RIC,2020-06-11 03:30,M,M,M,12.65
MDW,2020-06-11 03:30,M,M,M,9.20
PHL,2020-06-11 03:30,M,M,M,11.50
CMH,2020-06-11 03:30,M,M,M,0.00
RIC,2020-06-11 03:35,M,M,M,12.65
MDW,2020-06-11 03:35,M,M,M,9.20
PHL,2020-06-11 03:35,M,M,M,14.95
CMH,2020-06-11 03:35,M,M,M,0.00
RIC,2020-06-11 03:40,M,M,M,12.65
MDW,2020-06-11 03:40,M,M,M,9.20
PHL,2020-06-11 03:40,M,M,M,12.65
CMH,2020-06-11 03:40,M,M,M,25.30
RIC,2020-06-11 03:45,M,M,M,11.50
MDW,2020-06-11 03:45,M,M,M,8.05
PHL,2020-06-11 03:45,M,M,M,12.65
CMH,2020-06-11 03:45,M,M,M,19.55
RIC,2020-06-11 03:50,M,M,M,14.95
MDW,2020-06-11 03:50,M,M,M,9.20
PHL,2020-06-11 03:50,M,M,M,12.65
CMH,2020-06-11 03:50,M,M,M,14.95
CMH,2020-06-11 03:51,19.39,15.00,75.74,17.25
MDW,2020-06-11 03:53,16.72,11.72,72.33,9.20
RIC,2020-06-11 03:54,24.39,21.72,85.09,12.65
PHL,2020-06-11 03:54,25.00,21.11,79.02,12.65
RIC,2020-06-11 03:55,M,M,M,12.65
MDW,2020-06-11 03:55,M,M,M,8.05
PHL,2020-06-11 03:55,M,M,M,12.65
CMH,2020-06-11 03:55,M,M,M,19.55
RIC,2020-06-11 04:00,M,M,M,12.65
MDW,2020-06-11 04:00,M,M,M,8.05
PHL,2020-06-11 04:00,M,M,M,11.50
CMH,2020-06-11 04:00,M,M,M,21.85
RIC,2020-06-11 04:05,M,M,M,14.95
MDW,2020-06-11 04:05,M,M,M,9.20
PHL,2020-06-11 04:05,M,M,M,10.35
CMH,2020-06-11 04:05,M,M,M,16.10
