station,valid,tmpc,dwpc,relh,sped
BUR,2021-06-06 06:15,M,M,M,2.30
FAT,2021-06-06 06:15,M,M,M,0.00
SFO,2021-06-06 06:15,M,M,M,4.60
BUR,2021-06-06 06:20,M,M,M,2.30
FAT,2021-06-06 06:20,M,M,M,0.00
SFO,2021-06-06 06:20,M,M,M,5.75
BUR,2021-06-06 06:25,M,M,M,4.60
FAT,2021-06-06 06:25,M,M,M,2.30
SFO,2021-06-06 06:25,M,M,M,5.75
BUR,2021-06-06 06:30,M,M,M,5.75
FAT,2021-06-06 06:30,M,M,M,5.75
SFO,2021-06-06 06:30,M,M,M,4.60
BUR,2021-06-06 06:35,M,M,M,5.75
FAT,2021-06-06 06:35,M,M,M,5.75
SFO,2021-06-06 06:35,M,M,M,4.60
BUR,2021-06-06 06:40,M,M,M,5.75
FAT,2021-06-06 06:40,M,M,M,5.75
SFO,2021-06-06 06:40,M,M,M,2.30
BUR,2021-06-06 06:45,M,M,M,5.75
FAT,2021-06-06 06:45,M,M,M,5.75
SFO,2021-06-06 06:45,M,M,M,2.30
BUR,2021-06-06 06:50,M,M,M,5.75
FAT,2021-06-06 06:50,M,M,M,5.75
SFO,2021-06-06 06:50,M,M,M,4.60
CQT,2021-06-06 06:52,17.78,11.72,67.66,0.00
BUR,2021-06-06 06:53,16.11,11.11,72.22,6.90
FAT,2021-06-06 06:53,21.11,10.00,49.03,6.90
BUR,2021-06-06 06:55,M,M,M,5.75
FAT,2021-06-06 06:55,M,M,M,8.05
SFO,2021-06-06 06:55,M,M,M,4.60
SFO,2021-06-06 06:56,13.89,8.28,68.90,4.60
BUR,2021-06-06 07:00,M,M,M,5.75
FAT,2021-06-06 07:00,M,M,M,9.20
SFO,2021-06-06 07:00,M,M,M,5.75
BUR,2021-06-06 07:05,M,M,M,5.75
FAT,2021-06-06 07:05,M,M,M,8.05
SFO,2021-06-06 07:05,M,M,M,5.75
BUR,2021-06-06 07:10,M,M,M,5.75
FAT,2021-06-06 07:10,M,M,M,8.05
SFO,2021-06-06 07:10,M,M,M,4.60
BUR,2021-06-06 07:15,M,M,M,5.75
FAT,2021-06-06 07:15,M,M,M,5.75
SFO,2021-06-06 07:15,M,M,M,4.60
BUR,2021-06-06 07:20,M,M,M,5.75
FAT,2021-06-06 07:20,M,M,M,5.75
SFO,2021-06-06 07:20,M,M,M,2.30
BUR,2021-06-06 07:25,M,M,M,5.75
FAT,2021-06-06 07:25,M,M,M,5.75
SFO,2021-06-06 07:25,M,M,M,2.30
BUR,2021-06-06 07:30,M,M,M,8.05
FAT,2021-06-06 07:30,M,M,M,5.75
SFO,2021-06-06 07:30,M,M,M,5.75
BUR,2021-06-06 07:35,M,M,M,8.05
FAT,2021-06-06 07:35,M,M,M,5.75
SFO,2021-06-06 07:35,M,M,M,5.75
BUR,2021-06-06 07:40,M,M,M,5.75
FAT,2021-06-06 07:40,M,M,M,4.60
SFO,2021-06-06 07:40,M,M,M,5.75
BUR,2021-06-06 07:45,M,M,M,5.75
FAT,2021-06-06 07:45,M,M,M,5.75
SFO,2021-06-06 07:45,M,M,M,5.75
BUR,2021-06-06 07:50,M,M,M,5.75
FAT,2021-06-06 07:50,M,M,M,4.60
SFO,2021-06-06 07:50,M,M,M,2.30
CQT,2021-06-06 07:52,17.78,11.11,64.97,3.45
BUR,2021-06-06 07:53,16.11,10.61,69.86,4.60
FAT,2021-06-06 07:53,22.78,9.39,42.51,4.60
BUR,2021-06-06 07:55,M,M,M,5.75
FAT,2021-06-06 07:55,M,M,M,5.75
SFO,2021-06-06 07:55,M,M,M,2.30
SFO,2021-06-06 07:56,15.61,8.28,61.65,3.45
