station,valid,tmpc,dwpc,relh,sped
SFO,2020-05-09 04:40,M,M,M,8.05
BUR,2020-05-09 04:45,M,M,M,4.60
FAT,2020-05-09 04:45,M,M,M,0.00
SFO,2020-05-09 04:45,M,M,M,10.35
BUR,2020-05-09 04:50,M,M,M,4.60
FAT,2020-05-09 04:50,M,M,M,2.30
SFO,2020-05-09 04:50,M,M,M,8.05
BUR,2020-05-09 04:53,16.72,13.89,83.36,4.60
FAT,2020-05-09 04:53,18.89,11.11,60.60,3.45
BUR,2020-05-09 04:55,M,M,M,4.60
FAT,2020-05-09 04:55,M,M,M,2.30
SFO,2020-05-09 04:55,M,M,M,8.05
SFO,2020-05-09 04:56,10.00,9.39,95.98,8.05
BUR,2020-05-09 05:00,M,M,M,4.60
FAT,2020-05-09 05:00,M,M,M,0.00
SFO,2020-05-09 05:00,M,M,M,9.20
BUR,2020-05-09 05:05,M,M,M,4.60
FAT,2020-05-09 05:05,M,M,M,0.00
SFO,2020-05-09 05:05,M,M,M,10.35
BUR,2020-05-09 05:06,16.11,13.89,86.67,4.60
BUR,2020-05-09 05:10,M,M,M,4.60
FAT,2020-05-09 05:10,M,M,M,0.00
SFO,2020-05-09 05:10,M,M,M,8.05
BUR,2020-05-09 05:15,M,M,M,4.60
FAT,2020-05-09 05:15,M,M,M,0.00
SFO,2020-05-09 05:15,M,M,M,8.05
BUR,2020-05-09 05:20,M,M,M,2.30
FAT,2020-05-09 05:20,M,M,M,2.30
SFO,2020-05-09 05:20,M,M,M,8.05
BUR,2020-05-09 05:25,M,M,M,2.30
FAT,2020-05-09 05:25,M,M,M,2.30
SFO,2020-05-09 05:25,M,M,M,9.20
BUR,2020-05-09 05:30,M,M,M,0.00
FAT,2020-05-09 05:30,M,M,M,2.30
SFO,2020-05-09 05:30,M,M,M,9.20
BUR,2020-05-09 05:35,M,M,M,5.75
FAT,2020-05-09 05:35,M,M,M,4.60
SFO,2020-05-09 05:35,M,M,M,9.20
BUR,2020-05-09 05:40,M,M,M,2.30
FAT,2020-05-09 05:40,M,M,M,2.30
SFO,2020-05-09 05:40,M,M,M,9.20
BUR,2020-05-09 05:45,M,M,M,5.75
FAT,2020-05-09 05:45,M,M,M,4.60
SFO,2020-05-09 05:45,M,M,M,8.05
BUR,2020-05-09 05:50,M,M,M,2.30
FAT,2020-05-09 05:50,M,M,M,4.60
SFO,2020-05-09 05:50,M,M,M,9.20
BUR,2020-05-09 05:53,16.11,14.39,89.52,4.60
FAT,2020-05-09 05:53,18.89,11.72,63.10,3.45
BUR,2020-05-09 05:55,M,M,M,5.75
FAT,2020-05-09 05:55,M,M,M,2.30
SFO,2020-05-09 05:55,M,M,M,9.20
SFO,2020-05-09 05:56,10.00,8.89,92.80,9.20
BUR,2020-05-09 06:00,M,M,M,5.75
FAT,2020-05-09 06:00,M,M,M,2.30
SFO,2020-05-09 06:00,M,M,M,9.20
BUR,2020-05-09 06:05,M,M,M,4.60
FAT,2020-05-09 06:05,M,M,M,4.60
SFO,2020-05-09 06:05,M,M,M,9.20
BUR,2020-05-09 06:10,M,M,M,4.60
FAT,2020-05-09 06:10,M,M,M,2.30
SFO,2020-05-09 06:10,M,M,M,8.05
BUR,2020-05-09 06:15,M,M,M,5.75
FAT,2020-05-09 06:15,M,M,M,2.30
SFO,2020-05-09 06:15,M,M,M,8.05
BUR,2020-05-09 06:20,M,M,M,5.75
FAT,2020-05-09 06:20,M,M,M,2.30
SFO,2020-05-09 06:20,M,M,M,8.05
BUR,2020-05-09 06:24,16.11,13.89,86.67,5.75
BUR,2020-05-09 06:25,M,M,M,5.75
FAT,2020-05-09 06:25,M,M,M,4.60
SFO,2020-05-09 06:25,M,M,M,9.20
BUR,2020-05-09 06:30,M,M,M,4.60
FAT,2020-05-09 06:30,M,M,M,4.60
SFO,2020-05-09 06:30,M,M,M,9.20
BUR,2020-05-09 06:35,M,M,M,5.75
FAT,2020-05-09 06:35,M,M,M,4.60
SFO,2020-05-09 06:35,M,M,M,9.20
BUR,2020-05-09 06:40,M,M,M,5.75
FAT,2020-05-09 06:40,M,M,M,4.60
SFO,2020-05-09 06:40,M,M,M,10.35
BUR,2020-05-09 06:45,M,M,M,4.60
FAT,2020-05-09 06:45,M,M,M,5.75
SFO,2020-05-09 06:45,M,M,M,10.35
BUR,2020-05-09 06:50,M,M,M,2.30
FAT,2020-05-09 06:50,M,M,M,5.75
SFO,2020-05-09 06:50,M,M,M,9.20
BUR,2020-05-09 06:53,16.11,13.89,86.67,4.60
FAT,2020-05-09 06:53,18.89,11.72,63.10,6.90
BUR,2020-05-09 06:55,M,M,M,4.60
FAT,2020-05-09 06:55,M,M,M,5.75
SFO,2020-05-09 06:55,M,M,M,9.20
SFO,2020-05-09 06:56,11.72,10.00,89.18,9.20
BUR,2020-05-09 07:00,M,M,M,2.30
FAT,2020-05-09 07:00,M,M,M,5.75
SFO,2020-05-09 07:00,M,M,M,8.05
BUR,2020-05-09 07:05,M,M,M,4.60
FAT,2020-05-09 07:05,M,M,M,5.75
SFO,2020-05-09 07:05,M,M,M,5.75
BUR,2020-05-09 07:10,M,M,M,4.60
FAT,2020-05-09 07:10,M,M,M,5.75
SFO,2020-05-09 07:10,M,M,M,4.60
BUR,2020-05-09 07:15,M,M,M,2.30
FAT,2020-05-09 07:15,M,M,M,5.75
SFO,2020-05-09 07:15,M,M,M,2.30
BUR,2020-05-09 07:20,M,M,M,2.30
FAT,2020-05-09 07:20,M,M,M,5.75
SFO,2020-05-09 07:20,M,M,M,4.60
BUR,2020-05-09 07:25,M,M,M,2.30
FAT,2020-05-09 07:25,M,M,M,8.05
SFO,2020-05-09 07:25,M,M,M,2.30
BUR,2020-05-09 07:30,M,M,M,4.60
FAT,2020-05-09 07:30,M,M,M,8.05
SFO,2020-05-09 07:30,M,M,M,2.30
BUR,2020-05-09 07:35,M,M,M,2.30
FAT,2020-05-09 07:35,M,M,M,9.20
SFO,2020-05-09 07:35,M,M,M,2.30
BUR,2020-05-09 07:40,M,M,M,4.60
FAT,2020-05-09 07:40,M,M,M,9.20
SFO,2020-05-09 07:40,M,M,M,0.00
BUR,2020-05-09 07:45,M,M,M,5.75
FAT,2020-05-09 07:45,M,M,M,8.05
SFO,2020-05-09 07:45,M,M,M,0.00
BUR,2020-05-09 07:50,M,M,M,5.75
FAT,2020-05-09 07:50,M,M,M,5.75
SFO,2020-05-09 07:50,M,M,M,0.00
BUR,2020-05-09 07:53,16.72,13.28,80.11,5.75
FAT,2020-05-09 07:53,20.61,12.22,58.60,6.90
BUR,2020-05-09 07:55,M,M,M,4.60
FAT,2020-05-09 07:55,M,M,M,8.05
SFO,2020-05-09 07:55,M,M,M,0.00
SFO,2020-05-09 07:56,12.22,8.89,80.07,0.00
BUR,2020-05-09 08:00,M,M,M,5.75
FAT,2020-05-09 08:00,M,M,M,8.05
SFO,2020-05-09 08:00,M,M,M,0.00
BUR,2020-05-09 08:05,M,M,M,5.75
FAT,2020-05-09 08:05,M,M,M,8.05
SFO,2020-05-09 08:05,M,M,M,0.00
BUR,2020-05-09 08:10,M,M,M,5.75
FAT,2020-05-09 08:10,M,M,M,5.75
SFO,2020-05-09 08:10,M,M,M,0.00
BUR,2020-05-09 08:15,M,M,M,4.60
FAT,2020-05-09 08:15,M,M,M,8.05
SFO,2020-05-09 08:15,M,M,M,0.00
BUR,2020-05-09 08:20,M,M,M,5.75
FAT,2020-05-09 08:20,M,M,M,9.20
SFO,2020-05-09 08:20,M,M,M,0.00
BUR,2020-05-09 08:25,M,M,M,4.60
FAT,2020-05-09 08:25,M,M,M,5.75
SFO,2020-05-09 08:25,M,M,M,0.00
BUR,2020-05-09 08:30,M,M,M,8.05
FAT,2020-05-09 08:30,M,M,M,5.75
SFO,2020-05-09 08:30,M,M,M,0.00
BUR,2020-05-09 08:35,M,M,M,4.60
FAT,2020-05-09 08:35,M,M,M,5.75
SFO,2020-05-09 08:35,M,M,M,0.00
BUR,2020-05-09 08:40,M,M,M,5.75
FAT,2020-05-09 08:40,M,M,M,5.75
SFO,2020-05-09 08:40,M,M,M,0.00
BUR,2020-05-09 08:45,M,M,M,5.75
FAT,2020-05-09 08:45,M,M,M,5.75
SFO,2020-05-09 08:45,M,M,M,0.00
BUR,2020-05-09 08:50,M,M,M,4.60
FAT,2020-05-09 08:50,M,M,M,5.75
SFO,2020-05-09 08:50,M,M,M,0.00
BUR,2020-05-09 08:53,17.78,13.89,77.97,6.90
FAT,2020-05-09 08:53,23.89,11.11,44.59,6.90
BUR,2020-05-09 08:55,M,M,M,5.75
