"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20201203.csv"
"C","Report for 12/03/2020"
"C","Report generated 12/10/2020 02:30:01 EST"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","12/03/2020","03:19:59","Refuse","Renewables",320,"No"
"D","12/03/2020","03:19:59","Solar","Renewables",1,"No"
"D","12/03/2020","03:19:59","Wind","Renewables",695,"No"
"D","12/03/2020","03:19:59","Wood","Renewables",291,"No"
"D","12/03/2020","03:36:06","Coal","Coal",2,"No"
"D","12/03/2020","03:36:06","Hydro","Hydro",970,"No"
"D","12/03/2020","03:36:06","Natural Gas","Natural Gas",2615,"Yes"
"D","12/03/2020","03:36:06","Nuclear","Nuclear",3346,"No"
"D","12/03/2020","03:36:06","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","03:36:06","Refuse","Renewables",317,"No"
"D","12/03/2020","03:36:06","Solar","Renewables",1,"No"
"D","12/03/2020","03:36:06","Wind","Renewables",698,"No"
"D","12/03/2020","03:36:06","Wood","Renewables",296,"No"
"D","12/03/2020","03:55:35","Hydro","Hydro",969,"No"
"D","12/03/2020","03:55:35","Natural Gas","Natural Gas",2651,"Yes"
"D","12/03/2020","03:55:35","Nuclear","Nuclear",3340,"No"
"D","12/03/2020","03:55:35","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","03:55:35","Refuse","Renewables",325,"No"
"D","12/03/2020","03:55:35","Solar","Renewables",1,"No"
"D","12/03/2020","03:55:35","Wind","Renewables",661,"No"
"D","12/03/2020","03:55:35","Wood","Renewables",300,"No"
"D","12/03/2020","04:20:09","Coal","Coal",1,"No"
"D","12/03/2020","04:20:09","Hydro","Hydro",933,"No"
"D","12/03/2020","04:20:09","Natural Gas","Natural Gas",2922,"Yes"
"D","12/03/2020","04:20:09","Nuclear","Nuclear",3345,"No"
"D","12/03/2020","04:20:09","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","04:20:09","Refuse","Renewables",321,"No"
"D","12/03/2020","04:20:09","Solar","Renewables",1,"No"
"D","12/03/2020","04:20:09","Wind","Renewables",676,"No"
"D","12/03/2020","04:20:09","Wood","Renewables",302,"No"
"D","12/03/2020","04:36:46","Coal","Coal",2,"No"
"D","12/03/2020","04:36:46","Hydro","Hydro",933,"No"
"D","12/03/2020","04:36:46","Natural Gas","Natural Gas",3074,"Yes"
"D","12/03/2020","04:36:46","Nuclear","Nuclear",3348,"No"
"D","12/03/2020","04:36:46","Other","Other",5,"No"
"D","12/03/2020","04:36:46","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","04:36:46","Refuse","Renewables",319,"No"
"D","12/03/2020","04:36:46","Solar","Renewables",1,"No"
"D","12/03/2020","04:36:46","Wind","Renewables",644,"No"
"D","12/03/2020","04:36:46","Wood","Renewables",302,"No"
"D","12/03/2020","04:59:07","Coal","Coal",4,"No"
"D","12/03/2020","04:59:07","Hydro","Hydro",928,"No"
"D","12/03/2020","04:59:07","Natural Gas","Natural Gas",3327,"Yes"
"D","12/03/2020","04:59:07","Nuclear","Nuclear",3346,"No"
"D","12/03/2020","04:59:07","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","04:59:07","Refuse","Renewables",311,"No"
"D","12/03/2020","04:59:07","Solar","Renewables",1,"No"
"D","12/03/2020","04:59:07","Wind","Renewables",637,"No"
"D","12/03/2020","04:59:07","Wood","Renewables",301,"No"
"D","12/03/2020","05:06:15","Hydro","Hydro",927,"No"
"D","12/03/2020","05:06:15","Natural Gas","Natural Gas",3405,"Yes"
"D","12/03/2020","05:06:15","Nuclear","Nuclear",3345,"No"
"D","12/03/2020","05:06:15","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","05:06:15","Refuse","Renewables",321,"No"
"D","12/03/2020","05:06:15","Solar","Renewables",1,"No"
"D","12/03/2020","05:06:15","Wind","Renewables",625,"No"
"D","12/03/2020","05:06:15","Wood","Renewables",299,"No"
"D","12/03/2020","05:22:12","Hydro","Hydro",923,"No"
"D","12/03/2020","05:22:12","Natural Gas","Natural Gas",3625,"Yes"
"D","12/03/2020","05:22:12","Nuclear","Nuclear",3345,"No"
"D","12/03/2020","05:22:12","Other","Other",2,"No"
"D","12/03/2020","05:22:12","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","05:22:12","Refuse","Renewables",328,"No"
"D","12/03/2020","05:22:12","Solar","Renewables",1,"No"
"D","12/03/2020","05:22:12","Wind","Renewables",611,"No"
"D","12/03/2020","05:22:12","Wood","Renewables",305,"No"
"D","12/03/2020","05:22:15","Hydro","Hydro",923,"No"
"D","12/03/2020","05:22:15","Natural Gas","Natural Gas",3625,"Yes"
"D","12/03/2020","05:22:15","Nuclear","Nuclear",3345,"No"
"D","12/03/2020","05:22:15","Other","Other",2,"No"
"D","12/03/2020","05:22:15","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","05:22:15","Refuse","Renewables",328,"No"
"D","12/03/2020","05:22:15","Solar","Renewables",1,"No"
"D","12/03/2020","05:22:15","Wind","Renewables",611,"No"
"D","12/03/2020","05:22:15","Wood","Renewables",305,"No"
"D","12/03/2020","05:51:08","Hydro","Hydro",924,"No"
"D","12/03/2020","05:51:08","Natural Gas","Natural Gas",4109,"Yes"
"D","12/03/2020","05:51:08","Nuclear","Nuclear",3345,"No"
"D","12/03/2020","05:51:08","Other","Other",19,"No"
"D","12/03/2020","05:51:08","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","05:51:08","Refuse","Renewables",319,"No"
"D","12/03/2020","05:51:08","Solar","Renewables",1,"No"
"D","12/03/2020","05:51:08","Wind","Renewables",640,"No"
"D","12/03/2020","05:51:08","Wood","Renewables",304,"No"
"D","12/03/2020","06:01:14","Hydro","Hydro",1098,"No"
"D","12/03/2020","06:01:14","Natural Gas","Natural Gas",4235,"Yes"
"D","12/03/2020","06:01:14","Nuclear","Nuclear",3343,"No"
"D","12/03/2020","06:01:14","Other","Other",8,"No"
"D","12/03/2020","06:01:14","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","06:01:14","Refuse","Renewables",308,"No"
"D","12/03/2020","06:01:14","Solar","Renewables",1,"No"
"D","12/03/2020","06:01:14","Wind","Renewables",626,"No"
"D","12/03/2020","06:01:14","Wood","Renewables",306,"No"
"D","12/03/2020","06:08:13","Hydro","Hydro",1304,"No"
"D","12/03/2020","06:08:13","Natural Gas","Natural Gas",4353,"Yes"
"D","12/03/2020","06:08:13","Nuclear","Nuclear",3345,"No"
"D","12/03/2020","06:08:13","Other","Other",5,"No"
"D","12/03/2020","06:08:13","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","06:08:13","Refuse","Renewables",314,"No"
"D","12/03/2020","06:08:13","Solar","Renewables",1,"No"
"D","12/03/2020","06:08:13","Wind","Renewables",633,"No"
"D","12/03/2020","06:08:13","Wood","Renewables",308,"No"
"D","12/03/2020","06:15:57","Hydro","Hydro",1666,"No"
"D","12/03/2020","06:15:57","Natural Gas","Natural Gas",4358,"Yes"
"D","12/03/2020","06:15:57","Nuclear","Nuclear",3342,"No"
"D","12/03/2020","06:15:57","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","06:15:57","Refuse","Renewables",317,"No"
"D","12/03/2020","06:15:57","Solar","Renewables",1,"No"
"D","12/03/2020","06:15:57","Wind","Renewables",641,"No"
"D","12/03/2020","06:15:57","Wood","Renewables",306,"No"
"D","12/03/2020","06:20:53","Hydro","Hydro",1580,"No"
"D","12/03/2020","06:20:53","Natural Gas","Natural Gas",4268,"Yes"
"D","12/03/2020","06:20:53","Nuclear","Nuclear",3343,"No"
"D","12/03/2020","06:20:53","Other","Other",2,"No"
"D","12/03/2020","06:20:53","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","06:20:53","Refuse","Renewables",317,"No"
"D","12/03/2020","06:20:53","Solar","Renewables",1,"No"
"D","12/03/2020","06:20:53","Wind","Renewables",649,"No"
"D","12/03/2020","06:20:53","Wood","Renewables",306,"No"
