"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20180601.csv"
"C","Report for 06/01/2018"
"C","Report generated 04/16/2020 21:30:24 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","06/01/2018","04:55:47","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","04:55:47","Refuse","Renewables",398,"No"
"D","06/01/2018","04:55:47","Solar","Renewables",0,"No"
"D","06/01/2018","04:55:47","Wind","Renewables",316,"No"
"D","06/01/2018","04:55:47","Wood","Renewables",344,"No"
"D","06/01/2018","05:07:41","Hydro","Hydro",338,"No"
"D","06/01/2018","05:07:41","Natural Gas","Natural Gas",3727,"Yes"
"D","06/01/2018","05:07:41","Nuclear","Nuclear",4012,"No"
"D","06/01/2018","05:07:41","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","05:07:41","Refuse","Renewables",399,"No"
"D","06/01/2018","05:07:41","Solar","Renewables",0,"No"
"D","06/01/2018","05:07:41","Wind","Renewables",308,"No"
"D","06/01/2018","05:07:41","Wood","Renewables",335,"No"
"D","06/01/2018","05:18:02","Hydro","Hydro",338,"No"
"D","06/01/2018","05:18:02","Natural Gas","Natural Gas",3858,"Yes"
"D","06/01/2018","05:18:02","Nuclear","Nuclear",4012,"No"
"D","06/01/2018","05:18:02","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","05:18:02","Refuse","Renewables",404,"No"
"D","06/01/2018","05:18:02","Solar","Renewables",0,"No"
"D","06/01/2018","05:18:02","Wind","Renewables",300,"No"
"D","06/01/2018","05:18:02","Wood","Renewables",337,"No"
"D","06/01/2018","05:22:39","Hydro","Hydro",338,"No"
"D","06/01/2018","05:22:39","Natural Gas","Natural Gas",3944,"Yes"
"D","06/01/2018","05:22:39","Nuclear","Nuclear",4010,"No"
"D","06/01/2018","05:22:39","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","05:22:39","Refuse","Renewables",402,"No"
"D","06/01/2018","05:22:39","Solar","Renewables",0,"No"
"D","06/01/2018","05:22:39","Wind","Renewables",298,"No"
"D","06/01/2018","05:22:39","Wood","Renewables",339,"No"
"D","06/01/2018","05:30:54","Hydro","Hydro",338,"No"
"D","06/01/2018","05:30:54","Natural Gas","Natural Gas",4137,"Yes"
"D","06/01/2018","05:30:54","Nuclear","Nuclear",4009,"No"
"D","06/01/2018","05:30:54","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","05:30:54","Refuse","Renewables",405,"No"
"D","06/01/2018","05:30:54","Solar","Renewables",0,"No"
"D","06/01/2018","05:30:54","Wind","Renewables",303,"No"
"D","06/01/2018","05:30:54","Wood","Renewables",338,"No"
"D","06/01/2018","05:36:40","Hydro","Hydro",338,"No"
"D","06/01/2018","05:36:40","Natural Gas","Natural Gas",4228,"Yes"
"D","06/01/2018","05:36:40","Nuclear","Nuclear",4008,"No"
"D","06/01/2018","05:36:40","Landfill Gas","Renewables",29,"No"
"D","06/01/2018","05:36:40","Refuse","Renewables",404,"No"
"D","06/01/2018","05:36:40","Solar","Renewables",0,"No"
"D","06/01/2018","05:36:40","Wind","Renewables",303,"No"
"D","06/01/2018","05:36:40","Wood","Renewables",343,"No"
"D","06/01/2018","05:46:10","Hydro","Hydro",345,"No"
"D","06/01/2018","05:46:10","Natural Gas","Natural Gas",4316,"Yes"
"D","06/01/2018","05:46:10","Nuclear","Nuclear",4007,"No"
"D","06/01/2018","05:46:10","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","05:46:10","Refuse","Renewables",397,"No"
"D","06/01/2018","05:46:10","Solar","Renewables",1,"No"
"D","06/01/2018","05:46:10","Wind","Renewables",246,"No"
"D","06/01/2018","05:46:10","Wood","Renewables",330,"No"
"D","06/01/2018","05:51:27","Hydro","Hydro",345,"No"
"D","06/01/2018","05:51:27","Natural Gas","Natural Gas",4450,"Yes"
"D","06/01/2018","05:51:27","Nuclear","Nuclear",4011,"No"
