"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20200609.csv"
"C","Report for 06/09/2020"
"C","Report generated 06/15/2020 01:54:20 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","06/09/2020","01:15:54","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","01:15:54","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","01:15:54","Refuse","Renewables",316,"No"
"D","06/09/2020","01:15:54","Wind","Renewables",241,"No"
"D","06/09/2020","01:15:54","Wood","Renewables",257,"No"
"D","06/09/2020","01:27:02","Hydro","Hydro",404,"No"
"D","06/09/2020","01:27:02","Natural Gas","Natural Gas",4548,"Yes"
"D","06/09/2020","01:27:02","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","01:27:02","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","01:27:02","Refuse","Renewables",320,"No"
"D","06/09/2020","01:27:02","Wind","Renewables",247,"No"
"D","06/09/2020","01:27:02","Wood","Renewables",254,"No"
"D","06/09/2020","01:38:08","Hydro","Hydro",405,"No"
"D","06/09/2020","01:38:08","Natural Gas","Natural Gas",4401,"Yes"
"D","06/09/2020","01:38:08","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","01:38:08","Other","Other",1,"No"
"D","06/09/2020","01:38:08","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","01:38:08","Refuse","Renewables",318,"No"
"D","06/09/2020","01:38:08","Wind","Renewables",247,"No"
"D","06/09/2020","01:38:08","Wood","Renewables",254,"No"
"D","06/09/2020","01:51:48","Hydro","Hydro",358,"No"
"D","06/09/2020","01:51:48","Natural Gas","Natural Gas",4330,"Yes"
"D","06/09/2020","01:51:48","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","01:51:48","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","01:51:48","Refuse","Renewables",319,"No"
"D","06/09/2020","01:51:48","Wind","Renewables",240,"No"
"D","06/09/2020","01:51:48","Wood","Renewables",253,"No"
"D","06/09/2020","02:11:44","Hydro","Hydro",351,"No"
"D","06/09/2020","02:11:44","Natural Gas","Natural Gas",4200,"Yes"
"D","06/09/2020","02:11:44","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","02:11:44","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","02:11:44","Refuse","Renewables",314,"No"
"D","06/09/2020","02:11:44","Wind","Renewables",224,"No"
"D","06/09/2020","02:11:44","Wood","Renewables",252,"No"
"D","06/09/2020","02:26:04","Hydro","Hydro",350,"No"
"D","06/09/2020","02:26:04","Natural Gas","Natural Gas",4198,"Yes"
"D","06/09/2020","02:26:04","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","02:26:04","Other","Other",1,"No"
"D","06/09/2020","02:26:04","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","02:26:04","Refuse","Renewables",315,"No"
"D","06/09/2020","02:26:04","Wind","Renewables",219,"No"
"D","06/09/2020","02:26:04","Wood","Renewables",254,"No"
"D","06/09/2020","02:38:20","Hydro","Hydro",350,"No"
"D","06/09/2020","02:38:20","Natural Gas","Natural Gas",4114,"Yes"
"D","06/09/2020","02:38:20","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","02:38:20","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","02:38:20","Refuse","Renewables",315,"No"
"D","06/09/2020","02:38:20","Wind","Renewables",202,"No"
"D","06/09/2020","02:38:20","Wood","Renewables",251,"No"
"D","06/09/2020","03:02:08","Hydro","Hydro",346,"No"
"D","06/09/2020","03:02:08","Natural Gas","Natural Gas",3991,"Yes"
"D","06/09/2020","03:02:08","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","03:02:08","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","03:02:08","Refuse","Renewables",317,"No"
"D","06/09/2020","03:02:08","Wind","Renewables",209,"No"
"D","06/09/2020","03:02:08","Wood","Renewables",254,"No"
"D","06/09/2020","03:10:41","Hydro","Hydro",345,"No"
"D","06/09/2020","03:10:41","Natural Gas","Natural Gas",4021,"Yes"
"D","06/09/2020","03:10:41","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","03:10:41","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","03:10:41","Refuse","Renewables",315,"No"
"D","06/09/2020","03:10:41","Wind","Renewables",192,"No"
"D","06/09/2020","03:10:41","Wood","Renewables",254,"No"
"D","06/09/2020","03:24:37","Hydro","Hydro",344,"No"
"D","06/09/2020","03:24:37","Natural Gas","Natural Gas",3972,"Yes"
"D","06/09/2020","03:24:37","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","03:24:37","Other","Other",1,"No"
"D","06/09/2020","03:24:37","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","03:24:37","Refuse","Renewables",322,"No"
"D","06/09/2020","03:24:37","Wind","Renewables",213,"No"
"D","06/09/2020","03:24:37","Wood","Renewables",254,"No"
"D","06/09/2020","03:37:18","Hydro","Hydro",343,"No"
"D","06/09/2020","03:37:18","Natural Gas","Natural Gas",3969,"Yes"
"D","06/09/2020","03:37:18","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","03:37:18","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","03:37:18","Refuse","Renewables",320,"No"
"D","06/09/2020","03:37:18","Wind","Renewables",190,"No"
"D","06/09/2020","03:37:18","Wood","Renewables",250,"No"
"D","06/09/2020","03:50:14","Hydro","Hydro",343,"No"
"D","06/09/2020","03:50:14","Natural Gas","Natural Gas",3959,"Yes"
"D","06/09/2020","03:50:14","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","03:50:14","Other","Other",4,"No"
