datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,WEST,DEOK,DEOK,1932.445,False
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,SERC,SOUTH,DOM,DOM,7704.358,False
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,MIDATL,DPL,DPLCO,1280.177,False
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,WEST,DUQ,DUQ,1000.797,False
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,MIDATL,DPL,EASTON,17.578,True
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,SERC,WEST,EKPC,EKPC,812.482,False
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,MIDATL,JC,JC,1583.585,True
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,MIDATL,ME,ME,1136.726,True
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,WEST,ATSI,OE,4556.413,True
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,WEST,OVEC,OVEC,50.000,True
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,WEST,ATSI,PAPWR,345.390,True
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,MIDATL,PE,PE,2856.884,False
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,MIDATL,PEP,PEPCO,1864.607,False
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,MIDATL,PL,PLCO,2949.459,False
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,MIDATL,PN,PN,1358.106,True
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,MIDATL,PS,PS,3279.525,False
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,MIDATL,RECO,RECO,102.499,False
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,MIDATL,PEP,SMECO,227.114,True
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,MIDATL,PL,UGI,73.595,True
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RFC,MIDATL,AE,VMEU,51.668,True
4/13/2020 8:00:00 AM,4/13/2020 4:00:00 AM,RTO,RTO,RTO,RTO,58220.671,False
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,MIDATL,AE,AECO,686.037,False
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,WEST,AEP,AEPAPT,2968.312,True
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,WEST,AEP,AEPIMP,2213.266,True
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,WEST,AEP,AEPKPT,376.251,True
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,WEST,AEP,AEPOPT,4506.367,True
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,WEST,AP,AP,4026.465,True
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,MIDATL,BC,BC,2387.405,False
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,WEST,CE,CE,7644.452,True
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,WEST,DAY,DAY,1288.221,False
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,WEST,DEOK,DEOK,2022.158,False
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,SERC,SOUTH,DOM,DOM,8009.374,False
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,MIDATL,DPL,DPLCO,1361.167,False
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,WEST,DUQ,DUQ,1043.515,False
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,MIDATL,DPL,EASTON,18.101,True
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,SERC,WEST,EKPC,EKPC,852.208,False
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,MIDATL,JC,JC,1660.248,True
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,MIDATL,ME,ME,1219.394,True
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,WEST,ATSI,OE,4818.581,True
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,WEST,OVEC,OVEC,43.000,True
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,WEST,ATSI,PAPWR,367.193,True
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,MIDATL,PE,PE,2975.316,False
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,MIDATL,PEP,PEPCO,1940.327,False
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,MIDATL,PL,PLCO,3150.155,False
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,MIDATL,PN,PN,1428.697,True
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,MIDATL,PS,PS,3405.311,False
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,MIDATL,RECO,RECO,106.544,False
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,MIDATL,PEP,SMECO,240.263,True
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,MIDATL,PL,UGI,79.088,True
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RFC,MIDATL,AE,VMEU,55.636,True
4/13/2020 9:00:00 AM,4/13/2020 5:00:00 AM,RTO,RTO,RTO,RTO,60893.052,False
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,MIDATL,AE,AECO,734.384,False
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,WEST,AEP,AEPAPT,3111.238,True
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,WEST,AEP,AEPIMP,2425.298,True
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,WEST,AEP,AEPKPT,392.055,True
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,WEST,AEP,AEPOPT,4814.500,True
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,WEST,AP,AP,4292.854,True
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,MIDATL,BC,BC,2550.055,False
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,WEST,CE,CE,8163.351,True
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,WEST,DAY,DAY,1403.068,False
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,WEST,DEOK,DEOK,2181.699,False
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,SERC,SOUTH,DOM,DOM,8588.313,False
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,MIDATL,DPL,DPLCO,1467.935,False
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,WEST,DUQ,DUQ,1102.664,False
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,MIDATL,DPL,EASTON,20.174,True
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,SERC,WEST,EKPC,EKPC,931.802,False
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,MIDATL,JC,JC,1789.805,True
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,MIDATL,ME,ME,1334.700,True
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,WEST,ATSI,OE,5230.017,True
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,WEST,OVEC,OVEC,53.000,True
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,WEST,ATSI,PAPWR,397.068,True
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,MIDATL,PE,PE,3168.462,False
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,MIDATL,PEP,PEPCO,2092.849,False
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,MIDATL,PL,PLCO,3439.377,False
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,MIDATL,PN,PN,1551.546,True
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,MIDATL,PS,PS,3614.835,False
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,MIDATL,RECO,RECO,113.378,False
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,MIDATL,PEP,SMECO,260.048,True
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,MIDATL,PL,UGI,89.103,True
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RFC,MIDATL,AE,VMEU,60.698,True
4/13/2020 10:00:00 AM,4/13/2020 6:00:00 AM,RTO,RTO,RTO,RTO,65374.276,False
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,MIDATL,AE,AECO,782.098,False
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,WEST,AEP,AEPAPT,3274.889,True
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,WEST,AEP,AEPIMP,2587.565,True
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,WEST,AEP,AEPKPT,407.754,True
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,WEST,AEP,AEPOPT,5122.426,True
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,WEST,AP,AP,4458.159,True
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,MIDATL,BC,BC,2699.433,False
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,WEST,CE,CE,8889.008,True
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,WEST,DAY,DAY,1504.095,False
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,WEST,DEOK,DEOK,2334.510,False
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,SERC,SOUTH,DOM,DOM,9105.323,False
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,MIDATL,DPL,DPLCO,1567.901,False
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,WEST,DUQ,DUQ,1164.179,False
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,MIDATL,DPL,EASTON,22.246,True
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,SERC,WEST,EKPC,EKPC,991.391,False
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,MIDATL,JC,JC,1932.536,True
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,MIDATL,ME,ME,1438.754,True
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,WEST,ATSI,OE,5513.241,True
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,WEST,OVEC,OVEC,46.000,True
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,WEST,ATSI,PAPWR,432.428,True
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,MIDATL,PE,PE,3400.188,False
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,MIDATL,PEP,PEPCO,2199.621,False
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,MIDATL,PL,PLCO,3768.733,False
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,MIDATL,PN,PN,1667.739,True
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,MIDATL,PS,PS,3838.671,False
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,MIDATL,RECO,RECO,122.801,False
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,MIDATL,PEP,SMECO,278.736,True
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,MIDATL,PL,UGI,96.373,True
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RFC,MIDATL,AE,VMEU,64.156,True
4/13/2020 11:00:00 AM,4/13/2020 7:00:00 AM,RTO,RTO,RTO,RTO,69710.954,False
4/13/2020 12:00:00 PM,4/13/2020 8:00:00 AM,RFC,MIDATL,AE,AECO,816.875,False
4/13/2020 12:00:00 PM,4/13/2020 8:00:00 AM,RFC,WEST,AEP,AEPAPT,3428.709,True
4/13/2020 12:00:00 PM,4/13/2020 8:00:00 AM,RFC,WEST,AEP,AEPIMP,2698.606,True
4/13/2020 12:00:00 PM,4/13/2020 8:00:00 AM,RFC,WEST,AEP,AEPKPT,432.279,True
4/13/2020 12:00:00 PM,4/13/2020 8:00:00 AM,RFC,WEST,AEP,AEPOPT,5356.366,True
4/13/2020 12:00:00 PM,4/13/2020 8:00:00 AM,RFC,WEST,AP,AP,4655.584,True
