datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,MIDATL,ME,ME,1489.442,True
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,WEST,ATSI,OE,6022.424,True
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,WEST,OVEC,OVEC,31.000,True
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,WEST,ATSI,PAPWR,396.072,True
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,MIDATL,PE,PE,3897.205,False
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,2483.719,False
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,MIDATL,PL,PLCO,3725.014,False
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,MIDATL,PN,PN,1578.046,True
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,MIDATL,PS,PS,4454.000,False
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,MIDATL,RECO,RECO,141.506,False
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,MIDATL,PEP,SMECO,287.203,True
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,MIDATL,PL,UGI,92.436,False
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,MIDATL,AE,VMEU,68.541,False
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RTO,RTO,RTO,RTO,76180.650,False
7/2/2020 7:00:00 AM,7/2/2020 3:00:00 AM,RFC,MIDATL,AE,AECO,885.563,False
7/2/2020 7:00:00 AM,7/2/2020 3:00:00 AM,RFC,WEST,AEP,AEPAPT,3258.360,True
7/2/2020 7:00:00 AM,7/2/2020 3:00:00 AM,RFC,WEST,AEP,AEPIMP,2715.809,True
7/2/2020 7:00:00 AM,7/2/2020 3:00:00 AM,RFC,WEST,AEP,AEPKPT,488.492,True
7/2/2020 7:00:00 AM,7/2/2020 3:00:00 AM,RFC,WEST,AEP,AEPOPT,5356.136,True
7/2/2020 7:00:00 AM,7/2/2020 3:00:00 AM,RFC,WEST,AP,AP,4208.988,True
