Date,LMP,Node
1/17/2017 9:00:00 PM,34.81,.Z.CONNECTICUT
1/17/2017 9:00:00 PM,34.83,.Z.MAINE
1/17/2017 9:00:00 PM,35.02,.Z.NEMASSBOST
1/17/2017 9:00:00 PM,35.09,.Z.NEWHAMPSHIRE
1/17/2017 9:00:00 PM,35.2,.Z.RHODEISLAND
1/17/2017 9:00:00 PM,35,.Z.SEMASS
1/17/2017 9:00:00 PM,34.38,.Z.VERMONT
1/17/2017 9:00:00 PM,35.13,.Z.WCMASS
1/17/2017 10:00:00 PM,29.34,.Z.CONNECTICUT
1/17/2017 10:00:00 PM,28.96,.Z.MAINE
1/17/2017 10:00:00 PM,29.32,.Z.NEMASSBOST
1/17/2017 10:00:00 PM,29.27,.Z.NEWHAMPSHIRE
1/17/2017 10:00:00 PM,29.66,.Z.RHODEISLAND
1/17/2017 10:00:00 PM,29.44,.Z.SEMASS
1/17/2017 10:00:00 PM,29.25,.Z.VERMONT
1/17/2017 10:00:00 PM,29.49,.Z.WCMASS
1/17/2017 11:00:00 PM,33.68,.Z.CONNECTICUT
1/17/2017 11:00:00 PM,33.49,.Z.MAINE
1/17/2017 11:00:00 PM,33.69,.Z.NEMASSBOST
1/17/2017 11:00:00 PM,33.7,.Z.NEWHAMPSHIRE
1/17/2017 11:00:00 PM,33.98,.Z.RHODEISLAND
1/17/2017 11:00:00 PM,33.77,.Z.SEMASS
1/17/2017 11:00:00 PM,33.45,.Z.VERMONT
1/17/2017 11:00:00 PM,33.88,.Z.WCMASS
1/18/2017 12:00:00 AM,19.94,.Z.CONNECTICUT
1/18/2017 12:00:00 AM,19.29,.Z.MAINE
1/18/2017 12:00:00 AM,19.68,.Z.NEMASSBOST
1/18/2017 12:00:00 AM,19.69,.Z.NEWHAMPSHIRE
1/18/2017 12:00:00 AM,19.92,.Z.RHODEISLAND
1/18/2017 12:00:00 AM,19.79,.Z.SEMASS
1/18/2017 12:00:00 AM,19.85,.Z.VERMONT
1/18/2017 12:00:00 AM,19.95,.Z.WCMASS
1/18/2017 1:00:00 AM,14.46,.Z.CONNECTICUT
1/18/2017 1:00:00 AM,14.21,.Z.MAINE
1/18/2017 1:00:00 AM,14.31,.Z.NEMASSBOST
1/18/2017 1:00:00 AM,14.36,.Z.NEWHAMPSHIRE
1/18/2017 1:00:00 AM,14.46,.Z.RHODEISLAND
1/18/2017 1:00:00 AM,14.36,.Z.SEMASS
1/18/2017 1:00:00 AM,14.42,.Z.VERMONT
1/18/2017 1:00:00 AM,14.49,.Z.WCMASS
1/18/2017 2:00:00 AM,14.53,.Z.CONNECTICUT
