"BA Code","Timestamp (Hour Ending)","AEPW American Electric Power West Demand (MWh)","City of Springfield Demand (MWh)","Empire District Electric Company Demand (MWh)","Grand River Dam Authority Demand (MWh)","Independence Power & Light Demand (MWh)","KCP&L Greater Missouri Operations Demand (MWh)","Kansas City Board of Public Utilities Demand (MWh)","Kansas City Power & Light Demand (MWh)","Lincoln Electric System Demand (MWh)","Nebraska Public Power District Demand (MWh)","Oklahoma Gas and Electric Co. Demand (MWh)","Omaha Public Power District Demand (MWh)","Southwestern Public Service Company Demand (MWh)","Sunflower Electric Demand (MWh)","Westar Energy Demand (MWh)","Western Area Power Upper Great Plains East Demand (MWh)","Western Farmers Electric Cooperative Demand (MWh)"
SWPP,"2/3/2021 3 p.m. CST",4758,350,547,709,114,955,272,1742,386,1762,3454,1381,3380,608,3488,3887,908
SWPP,"2/3/2021 4 p.m. CST",4674,344,526,717,115,952,267,1715,379,1766,3415,1367,3369,590,3430,3928,915
SWPP,"2/3/2021 5 p.m. CST",4705,349,538,746,115,980,262,1713,384,1781,3450,1382,3390,587,3412,3972,923
SWPP,"2/3/2021 6 p.m. CST",4829,367,573,715,122,1040,261,1790,394,1813,3538,1427,3391,589,3499,4020,950
SWPP,"2/3/2021 7 p.m. CST",5180,386,622,731,129,1075,276,1882,413,1880,3698,1473,3448,604,3659,4046,1018
SWPP,"2/3/2021 8 p.m. CST",5249,382,643,731,128,1076,270,1836,404,1879,3724,1448,3480,603,3631,4033,1045
SWPP,"2/3/2021 9 p.m. CST",5200,374,639,727,124,1071,266,1790,393,1858,3693,1414,3430,593,3576,3986,1025
SWPP,"2/3/2021 10 p.m. CST",5040,360,623,794,117,1040,263,1716,373,1847,3604,1354,3383,584,3473,3911,997
SWPP,"2/3/2021 11 p.m. CST",4777,339,591,804,110,981,251,1620,347,1797,3449,1274,3315,554,3374,3794,950
SWPP,"2/4/2021 12 a.m. CST",4541,321,567,796,104,943,246,1543,325,1754,3300,1208,3216,541,3215,3706,902
SWPP,"2/4/2021 1 a.m. CST",4373,309,553,788,99,914,240,1494,313,1736,3211,1175,3178,547,3116,3670,879
SWPP,"2/4/2021 2 a.m. CST",4282,305,544,782,97,896,234,1464,310,1736,3139,1165,3180,536,3055,3665,872
SWPP,"2/4/2021 3 a.m. CST",4225,304,537,778,96,893,233,1453,316,1751,3069,1172,3151,537,3027,3688,868
SWPP,"2/4/2021 4 a.m. CST",4211,305,534,773,96,879,231,1448,324,1787,3053,1192,3153,549,3041,3731,863
SWPP,"2/4/2021 5 a.m. CST",4264,311,539,775,98,891,233,1480,342,1850,3072,1240,3182,553,3108,3817,876
SWPP,"2/4/2021 6 a.m. CST",4508,331,574,773,104,964,249,1593,376,1915,3237,1334,3292,576,3250,3945,918
SWPP,"2/4/2021 7 a.m. CST",4904,358,634,714,114,1050,266,1755,419,2040,3480,1440,3429,618,3569,4167,996
SWPP,"2/4/2021 8 a.m. CST",5040,378,668,734,118,1121,285,1887,454,2097,3671,1523,3592,641,3798,4374,1036
SWPP,"2/4/2021 9 a.m. CST",5090,384,666,715,118,1148,295,1972,462,2146,3802,1566,3612,648,3874,4429,1044
SWPP,"2/4/2021 10 a.m. CST",5123,388,666,718,123,1185,304,2065,462,2154,3830,1588,3590,646,3971,4420,1047
SWPP,"2/4/2021 11 a.m. CST",5119,394,686,730,130,1221,301,2129,455,2092,3822,1592,3585,652,4016,4325,1037
SWPP,"2/4/2021 12 p.m. CST",5122,401,706,745,133,1248,309,2158,449,2064,3816,1568,3576,644,3976,4230,1021
SWPP,"2/4/2021 1 p.m. CST",5059,411,716,753,135,1245,316,2146,446,2017,3808,1553,3557,627,3915,4193,994
SWPP,"2/4/2021 2 p.m. CST",4966,414,706,743,131,1210,312,2086,438,1987,3758,1533,3533,614,3846,4130,978
SWPP,"2/4/2021 3 p.m. CST",4874,411,690,738,123,1178,305,2017,432,1945,3698,1510,3482,608,3761,4068,964
SWPP,"2/4/2021 4 p.m. CST",4791,409,687,728,121,1151,300,1969,428,1908,3603,1505,3436,591,3682,4051,939
SWPP,"2/4/2021 5 p.m. CST",4768,406,682,710,125,1175,297,1971,432,1925,3542,1521,3445,589,3664,4097,950
SWPP,"2/4/2021 6 p.m. CST",4873,411,704,711,135,1236,300,2040,449,1983,3573,1568,3424,580,3734,4230,989
SWPP,"2/4/2021 7 p.m. CST",5226,429,748,732,141,1294,315,2129,466,2095,3768,1630,3460,594,3899,4333,1069
SWPP,"2/4/2021 8 p.m. CST",5340,422,749,744,139,1285,312,2104,458,2070,3807,1613,3525,596,3902,4306,1103
SWPP,"2/4/2021 9 p.m. CST",5362,414,748,754,136,1263,302,2066,447,2035,3807,1576,3544,590,3850,4243,1122
SWPP,"2/4/2021 10 p.m. CST",5248,401,734,752,130,1214,295,1986,427,2016,3755,1519,3543,589,3758,4141,1117
SWPP,"2/4/2021 11 p.m. CST",5087,381,701,744,123,1165,285,1883,401,1946,3676,1437,3504,573,3619,4059,1101
SWPP,"2/5/2021 12 a.m. CST",4910,364,676,806,116,1100,275,1803,378,1888,3578,1364,3409,562,3491,3998,1084
SWPP,"2/5/2021 1 a.m. CST",4831,353,673,817,113,1079,267,1752,363,1849,3540,1326,3378,545,3409,3959,1086
SWPP,"2/5/2021 2 a.m. CST",4828,347,674,815,111,1076,262,1734,355,1844,3528,1311,3380,539,3348,3939,1096
