"BA Code","Timestamp (Hour Ending)","AEPW American Electric Power West Demand (MWh)","City of Springfield Demand (MWh)","Empire District Electric Company Demand (MWh)","Grand River Dam Authority Demand (MWh)","Independence Power & Light Demand (MWh)","KCP&L Greater Missouri Operations Demand (MWh)","Kansas City Board of Public Utilities Demand (MWh)","Kansas City Power & Light Demand (MWh)","Lincoln Electric System Demand (MWh)","Nebraska Public Power District Demand (MWh)","Oklahoma Gas and Electric Co. Demand (MWh)","Omaha Public Power District Demand (MWh)","Southwestern Public Service Company Demand (MWh)","Sunflower Electric Demand (MWh)","Westar Energy Demand (MWh)","Western Area Power Upper Great Plains East Demand (MWh)","Western Farmers Electric Cooperative Demand (MWh)"
SWPP,"2/8/2021 8 a.m. CST",6212,439,839,773,157,1496,324,2524,563,2663,4331,1794,3706,656,4432,4998,1252
SWPP,"2/8/2021 9 a.m. CST",6262,450,857,774,161,1532,331,2582,568,2614,4461,1815,3739,678,4534,4947,1260
SWPP,"2/8/2021 10 a.m. CST",6275,458,873,791,166,1576,337,2649,568,2608,4520,1827,3719,693,4640,4853,1296
SWPP,"2/8/2021 11 a.m. CST",6248,464,889,801,172,1576,343,2680,575,2578,4604,1830,3697,698,4711,4732,1322
SWPP,"2/8/2021 12 p.m. CST",6154,466,894,815,171,1598,346,2693,574,2514,4668,1812,3672,699,4708,4586,1324
SWPP,"2/8/2021 1 p.m. CST",6002,463,887,804,171,1582,351,2691,569,2436,4680,1787,3679,695,4659,4477,1316
SWPP,"2/8/2021 2 p.m. CST",5872,460,877,802,170,1569,349,2670,556,2422,4682,1762,3603,691,4625,4430,1317
SWPP,"2/8/2021 3 p.m. CST",5745,452,867,798,170,1562,344,2655,548,2379,4651,1732,3584,685,4580,4374,1319
SWPP,"2/8/2021 4 p.m. CST",5652,443,856,796,168,1548,342,2640,545,2377,4655,1714,3534,684,4540,4401,1332
SWPP,"2/8/2021 5 p.m. CST",5677,442,862,788,171,1558,340,2639,549,2397,4658,1722,3503,674,4556,4474,1355
SWPP,"2/8/2021 6 p.m. CST",5807,452,878,796,174,1590,340,2688,562,2465,4769,1775,3515,670,4599,4633,1393
SWPP,"2/8/2021 7 p.m. CST",6012,457,888,806,175,1616,348,2735,579,2552,4858,1850,3605,679,4703,4819,1434
SWPP,"2/8/2021 8 p.m. CST",5992,450,878,801,174,1590,348,2681,569,2586,4804,1840,3651,675,4654,4827,1446
SWPP,"2/8/2021 9 p.m. CST",5894,441,861,794,168,1548,348,2607,558,2571,4740,1811,3643,663,4569,4815,1440
SWPP,"2/8/2021 10 p.m. CST",5730,429,839,793,162,1501,344,2515,539,2511,4634,1755,3600,650,4426,4726,1415
SWPP,"2/8/2021 11 p.m. CST",5484,410,812,787,155,1419,336,2369,512,2467,4470,1676,3554,631,4248,4583,1377
SWPP,"2/9/2021 12 a.m. CST",5276,396,798,817,148,1375,321,2282,491,2408,4332,1613,3482,611,4139,4487,1347
SWPP,"2/9/2021 1 a.m. CST",5160,386,787,820,145,1355,318,2234,481,2394,4262,1585,3416,598,4061,4426,1337
SWPP,"2/9/2021 2 a.m. CST",5110,382,786,813,143,1348,316,2210,479,2384,4225,1572,3422,595,4022,4386,1338
SWPP,"2/9/2021 3 a.m. CST",5082,381,792,814,142,1343,307,2202,477,2400,4238,1574,3438,596,3999,4367,1351
SWPP,"2/9/2021 4 a.m. CST",5093,387,798,815,142,1342,314,2203,481,2407,4263,1579,3476,598,4014,4380,1369
SWPP,"2/9/2021 5 a.m. CST",5165,398,817,779,145,1359,314,2236,492,2443,4326,1609,3538,607,4077,4439,1385
SWPP,"2/9/2021 6 a.m. CST",5408,417,853,786,149,1411,325,2328,517,2521,4491,1676,3652,624,4246,4549,1427
SWPP,"2/9/2021 7 a.m. CST",5822,445,904,808,156,1474,340,2470,560,2620,4733,1785,3845,652,4453,4788,1480
SWPP,"2/9/2021 8 a.m. CST",6081,466,942,825,157,1521,345,2570,593,2661,4918,1854,3970,674,4640,4924,1497
SWPP,"2/9/2021 9 a.m. CST",6171,477,955,835,164,1552,350,2608,589,2602,5002,1849,3979,675,4708,4890,1478
SWPP,"2/9/2021 10 a.m. CST",6231,486,960,840,169,1568,352,2624,571,2535,5093,1819,3966,684,4749,4798,1503
SWPP,"2/9/2021 11 a.m. CST",6294,489,951,850,172,1552,353,2628,558,2529,5183,1798,3948,694,4772,4729,1522
SWPP,"2/9/2021 12 p.m. CST",6237,485,930,851,171,1518,351,2594,543,2478,5183,1760,3879,689,4717,4572,1506
SWPP,"2/9/2021 1 p.m. CST",6176,483,910,846,170,1486,353,2567,527,2409,5142,1724,3793,678,4655,4493,1492
SWPP,"2/9/2021 2 p.m. CST",6117,479,889,842,169,1461,347,2525,517,2359,5100,1694,3697,679,4595,4464,1476
SWPP,"2/9/2021 3 p.m. CST",6091,474,880,836,167,1455,343,2488,508,2314,5051,1664,3633,680,4554,4436,1473
SWPP,"2/9/2021 4 p.m. CST",6041,471,877,828,166,1443,337,2475,507,2290,5035,1660,3577,673,4516,4443,1479
SWPP,"2/9/2021 5 p.m. CST",6063,472,891,823,167,1461,340,2488,525,2330,5041,1696,3578,666,4517,4436,1502
SWPP,"2/9/2021 6 p.m. CST",6254,482,914,821,172,1509,342,2550,542,2416,5064,1748,3594,654,4564,4544,1534
SWPP,"2/9/2021 7 p.m. CST",6442,490,929,830,177,1544,355,2609,555,2490,5115,1805,3733,662,4655,4718,1558
SWPP,"2/9/2021 8 p.m. CST",6421,479,918,825,173,1517,350,2560,544,2478,5052,1787,3830,662,4604,4721,1549
SWPP,"2/9/2021 9 p.m. CST",6300,465,902,817,169,1486,346,2498,529,2435,4974,1745,3830,657,4509,4695,1531
SWPP,"2/9/2021 10 p.m. CST",6106,448,871,806,161,1440,338,2413,508,2378,4821,1684,3777,651,4391,4565,1500
SWPP,"2/9/2021 11 p.m. CST",5834,427,835,795,153,1378,329,2308,479,2308,4636,1605,3701,633,4213,4406,1452
SWPP,"2/10/2021 12 a.m. CST",5593,411,806,784,146,1325,317,2224,454,2233,4468,1535,3644,613,4080,4339,1412
SWPP,"2/10/2021 1 a.m. CST",5417,399,791,799,141,1296,309,2176,441,2213,4386,1495,3582,612,4044,4285,1397
SWPP,"2/10/2021 2 a.m. CST",5364,393,788,768,139,1305,309,2161,436,2197,4325,1478,3567,599,3989,4243,1387
SWPP,"2/10/2021 3 a.m. CST",5365,392,784,806,139,1308,308,2159,434,2198,4302,1476,3581,594,3963,4222,1388
SWPP,"2/10/2021 4 a.m. CST",5406,394,789,790,139,1318,310,2173,437,2179,4320,1481,3602,592,3974,4231,1395
SWPP,"2/10/2021 5 a.m. CST",5526,403,808,772,142,1342,312,2211,445,2224,4375,1509,3627,598,4008,4279,1409
SWPP,"2/10/2021 6 a.m. CST",5772,419,838,782,147,1394,318,2296,469,2308,4484,1579,3736,611,4159,4401,1434
SWPP,"2/10/2021 7 a.m. CST",6160,442,877,788,154,1467,334,2436,507,2417,4658,1672,3926,634,4391,4659,1470
SWPP,"2/10/2021 8 a.m. CST",6376,464,909,799,160,1522,341,2553,536,2514,4810,1739,4061,658,4593,4873,1502
SWPP,"2/10/2021 9 a.m. CST",6476,475,924,805,164,1535,348,2585,541,2524,4893,1743,4063,669,4654,4836,1513
SWPP,"2/10/2021 10 a.m. CST",6564,484,935,816,168,1539,352,2592,541,2488,4970,1736,4088,669,4713,4720,1524
SWPP,"2/10/2021 11 a.m. CST",6588,493,942,823,170,1541,359,2601,539,2455,5043,1737,4047,670,4744,4586,1530
SWPP,"2/10/2021 12 p.m. CST",6528,495,939,823,173,1526,359,2604,522,2402,5073,1710,4038,661,4703,4500,1529
SWPP,"2/10/2021 1 p.m. CST",6457,497,934,816,173,1514,359,2606,517,2356,5076,1675,4020,664,4671,4447,1517
SWPP,"2/10/2021 2 p.m. CST",6452,495,930,815,173,1501,357,2593,512,2317,5078,1653,3996,672,4653,4391,1506
SWPP,"2/10/2021 3 p.m. CST",6428,493,926,816,172,1474,355,2572,511,2294,5053,1634,3905,673,4614,4368,1506
SWPP,"2/10/2021 4 p.m. CST",6449,492,925,852,170,1462,350,2547,505,2285,5016,1626,3912,677,4578,4360,1527
SWPP,"2/10/2021 5 p.m. CST",6553,494,937,858,171,1487,349,2557,506,2337,5026,1638,3927,674,4602,4412,1552
SWPP,"2/10/2021 6 p.m. CST",6724,506,959,829,176,1530,348,2609,527,2405,5097,1717,3951,664,4673,4516,1570
SWPP,"2/10/2021 7 p.m. CST",6902,511,977,824,179,1539,362,2653,545,2489,5147,1795,4047,673,4757,4707,1587
SWPP,"2/10/2021 8 p.m. CST",6835,500,964,816,176,1527,357,2601,538,2491,5106,1804,4087,669,4697,4803,1580
SWPP,"2/10/2021 9 p.m. CST",6789,495,955,813,172,1498,363,2568,532,2483,5113,1779,4083,662,4646,4765,1565
SWPP,"2/10/2021 10 p.m. CST",6789,495,955,813,172,1498,363,2568,532,2483,5113,1779,4083,662,4646,4765,1565
SWPP,"2/10/2021 11 p.m. CST",6789,495,955,813,172,1498,363,2568,532,2483,5113,1779,4083,662,4646,4765,1565
SWPP,"2/11/2021 12 a.m. CST",6789,495,955,813,172,1498,363,2568,532,2483,5113,1779,4083,662,4646,4765,1565
SWPP,"2/11/2021 1 a.m. CST",5940,424,854,836,145,1318,315,2195,448,2264,4535,1549,3809,619,4125,4366,1482
SWPP,"2/11/2021 2 a.m. CST",5885,417,850,868,142,1312,309,2178,444,2207,4486,1522,3807,619,4080,4346,1473
SWPP,"2/11/2021 3 a.m. CST",5881,415,849,860,141,1318,311,2174,444,2211,4449,1517,3808,622,4055,4339,1483
SWPP,"2/11/2021 4 a.m. CST",5940,415,852,861,141,1328,314,2184,449,2293,4440,1527,3814,613,4046,4367,1495
SWPP,"2/11/2021 5 a.m. CST",6074,424,868,863,145,1331,322,2232,456,2320,4505,1556,3825,621,4114,4395,1518
SWPP,"2/11/2021 6 a.m. CST",6359,445,906,801,150,1397,327,2330,481,2407,4651,1634,3935,629,4206,4497,1551
SWPP,"2/11/2021 7 a.m. CST",6781,472,951,799,158,1489,347,2471,519,2527,4847,1730,4105,658,4463,4734,1591
SWPP,"2/11/2021 8 a.m. CST",7033,489,981,811,163,1547,354,2577,550,2636,4991,1793,4146,677,4654,4934,1616
SWPP,"2/11/2021 9 a.m. CST",7197,500,996,821,166,1555,359,2617,545,2609,5062,1787,4172,685,4720,4949,1621
SWPP,"2/11/2021 10 a.m. CST",7294,510,1004,828,170,1547,357,2624,542,2584,5133,1783,4161,685,4748,4933,1628
SWPP,"2/11/2021 11 a.m. CST",7351,518,1005,834,171,1543,364,2615,543,2549,5168,1798,4122,687,4768,4844,1626
SWPP,"2/11/2021 12 p.m. CST",7328,517,998,835,171,1526,362,2597,536,2502,5171,1800,4069,683,4748,4729,1625
SWPP,"2/11/2021 1 p.m. CST",7261,514,987,837,169,1505,359,2567,521,2447,5136,1773,3985,675,4685,4690,1600
SWPP,"2/11/2021 2 p.m. CST",7254,512,976,838,168,1471,357,2528,511,2435,5118,1755,3877,673,4633,4645,1583
SWPP,"2/11/2021 3 p.m. CST",7212,507,968,826,168,1463,349,2500,503,2402,5074,1742,3751,666,4583,4624,1567
SWPP,"2/11/2021 4 p.m. CST",7204,505,964,824,167,1462,345,2494,505,2370,5066,1755,3661,672,4547,4624,1571
SWPP,"2/11/2021 5 p.m. CST",7261,505,967,827,171,1473,341,2511,517,2430,5058,1776,3629,671,4571,4694,1589
SWPP,"2/11/2021 6 p.m. CST",7348,511,983,819,176,1516,351,2582,540,2476,5113,1818,3669,671,4639,4845,1617
SWPP,"2/11/2021 7 p.m. CST",7522,518,998,827,181,1561,359,2664,561,2576,5187,1879,3801,685,4755,4934,1667
SWPP,"2/11/2021 8 p.m. CST",7478,506,986,824,178,1549,359,2632,558,2578,5154,1869,3910,687,4729,4925,1666
SWPP,"2/11/2021 9 p.m. CST",7379,495,973,816,175,1522,353,2584,549,2547,5116,1840,3928,688,4695,4880,1647
SWPP,"2/11/2021 10 p.m. CST",7187,479,951,806,168,1503,347,2511,533,2498,4978,1785,3924,685,4612,4746,1611
SWPP,"2/11/2021 11 p.m. CST",6907,458,921,797,162,1449,342,2422,508,2409,4823,1721,3897,666,4460,4666,1572
SWPP,"2/12/2021 12 a.m. CST",6667,440,891,872,155,1418,328,2351,487,2374,4680,1664,3825,647,4371,4563,1543
SWPP,"2/12/2021 1 a.m. CST",6558,427,878,839,152,1406,319,2312,478,2342,4586,1631,3780,638,4298,4503,1519
SWPP,"2/12/2021 2 a.m. CST",6496,423,879,761,149,1405,319,2304,476,2363,4575,1621,3770,640,4257,4490,1516
SWPP,"2/12/2021 3 a.m. CST",6488,422,887,765,149,1414,324,2314,478,2370,4570,1608,3787,640,4199,4486,1520
SWPP,"2/12/2021 4 a.m. CST",6539,424,895,754,149,1424,325,2331,481,2395,4571,1605,3816,639,4221,4511,1534
SWPP,"2/12/2021 5 a.m. CST",6667,431,913,766,152,1445,331,2374,491,2425,4635,1633,3857,642,4276,4578,1557
SWPP,"2/12/2021 6 a.m. CST",6935,452,949,780,157,1498,342,2456,515,2487,4761,1687,3925,656,4420,4670,1582
SWPP,"2/12/2021 7 a.m. CST",7316,481,1000,799,161,1565,353,2576,551,2611,4994,1778,4061,684,4650,4862,1636
SWPP,"2/12/2021 8 a.m. CST",7553,499,1031,819,164,1612,360,2669,581,2694,5143,1854,4181,705,4836,5014,1668
SWPP,"2/12/2021 9 a.m. CST",7675,512,1050,834,167,1602,359,2693,595,2669,5243,1880,4220,708,4919,5003,1677
SWPP,"2/12/2021 10 a.m. CST",7759,516,1054,846,166,1584,362,2666,597,2666,5320,1897,4229,713,4937,4945,1685
SWPP,"2/12/2021 11 a.m. CST",7771,518,1042,846,167,1558,363,2648,599,2670,5366,1905,4206,715,4939,4872,1674
SWPP,"2/12/2021 12 p.m. CST",7713,515,1015,842,167,1605,361,2614,595,2666,5342,1905,4184,702,4896,4747,1649
SWPP,"2/12/2021 1 p.m. CST",7647,508,991,885,168,1683,354,2573,587,2611,5278,1887,4134,693,4807,4641,1614
SWPP,"2/12/2021 2 p.m. CST",7604,504,977,921,170,1607,359,2571,582,2577,5240,1873,4077,691,4783,4572,1607
SWPP,"2/12/2021 3 p.m. CST",7526,498,961,919,169,1613,357,2557,564,2544,5186,1843,4014,681,4741,4518,1591
SWPP,"2/12/2021 4 p.m. CST",7501,494,954,915,170,1506,356,2581,556,2535,5179,1821,3977,689,4707,4502,1601
SWPP,"2/12/2021 5 p.m. CST",7503,492,963,935,173,1535,355,2609,564,2551,5190,1831,3959,685,4701,4608,1618
SWPP,"2/12/2021 6 p.m. CST",7608,501,984,846,178,1583,358,2681,576,2568,5234,1863,3981,666,4705,4751,1643
SWPP,"2/12/2021 7 p.m. CST",7752,514,1009,851,183,1628,372,2756,590,2625,5339,1918,4049,661,4826,4839,1695
SWPP,"2/12/2021 8 p.m. CST",7710,507,1013,843,181,1618,368,2718,578,2619,5291,1892,4093,660,4807,4810,1697
SWPP,"2/12/2021 9 p.m. CST",7621,499,1012,838,178,1605,362,2682,567,2591,5222,1853,4072,650,4742,4757,1685
SWPP,"2/12/2021 10 p.m. CST",7463,488,998,839,175,1574,352,2642,550,2541,5136,1803,4031,641,4650,4622,1669
SWPP,"2/12/2021 11 p.m. CST",7244,470,966,903,168,1534,344,2569,526,2429,5026,1734,3978,626,4526,4500,1641
SWPP,"2/13/2021 12 a.m. CST",7087,457,950,906,163,1510,337,2507,508,2426,4916,1686,3921,617,4400,4436,1617
SWPP,"2/13/2021 1 a.m. CST",6853,440,925,852,157,1456,328,2440,490,2372,4803,1633,3855,602,4406,4388,1585
SWPP,"2/13/2021 2 a.m. CST",6775,434,927,868,154,1445,324,2417,481,2355,4774,1605,3839,600,4341,4359,1583
SWPP,"2/13/2021 3 a.m. CST",6782,433,935,867,151,1451,321,2411,479,2342,4724,1591,3821,596,4322,4339,1590
SWPP,"2/13/2021 4 a.m. CST",6781,435,944,870,150,1455,320,2409,479,2324,4720,1585,3799,600,4321,4340,1601
SWPP,"2/13/2021 5 a.m. CST",6858,442,959,875,151,1465,323,2429,484,2338,4738,1592,3802,593,4347,4341,1616
SWPP,"2/13/2021 6 a.m. CST",6970,452,986,882,157,1480,327,2479,494,2360,4836,1615,3846,604,4425,4355,1633
SWPP,"2/13/2021 7 a.m. CST",7167,466,1022,897,161,1519,331,2537,509,2426,4969,1648,3910,617,4532,4431,1662
SWPP,"2/13/2021 8 a.m. CST",7377,475,1052,817,162,1555,332,2584,523,2486,5086,1687,3997,626,4522,4569,1695
SWPP,"2/13/2021 9 a.m. CST",7633,491,1076,824,168,1576,336,2644,533,2497,5176,1720,4083,634,4627,4540,1724
SWPP,"2/13/2021 10 a.m. CST",7736,496,1082,834,172,1586,339,2662,525,2464,5228,1705,4138,651,4687,4450,1724
SWPP,"2/13/2021 11 a.m. CST",7666,486,1054,819,171,1550,339,2634,514,2426,5255,1693,4182,662,4653,4396,1680
SWPP,"2/13/2021 12 p.m. CST",7502,480,1006,805,168,1517,334,2580,508,2392,5175,1682,4165,672,4589,4340,1623
SWPP,"2/13/2021 1 p.m. CST",7292,471,956,794,167,1457,326,2518,497,2335,5035,1662,4114,668,4526,4273,1549
SWPP,"2/13/2021 2 p.m. CST",7093,455,917,782,163,1425,320,2460,484,2282,4889,1631,4065,659,4554,4189,1497
SWPP,"2/13/2021 3 p.m. CST",6971,454,906,854,163,1414,316,2427,476,2225,4789,1567,4031,654,4435,4166,1461
SWPP,"2/13/2021 4 p.m. CST",6909,449,895,871,162,1411,313,2406,476,2214,4734,1578,4009,649,4384,4161,1441
SWPP,"2/13/2021 5 p.m. CST",6975,454,908,870,166,1429,313,2441,492,2282,4772,1614,4025,644,4427,4219,1465
SWPP,"2/13/2021 6 p.m. CST",7179,477,955,877,173,1490,320,2556,514,2357,4919,1685,4064,646,4552,4332,1530
SWPP,"2/13/2021 7 p.m. CST",7466,506,1017,815,182,1577,338,2709,536,2466,5122,1752,4162,657,4728,4489,1612
SWPP,"2/13/2021 8 p.m. CST",7523,510,1038,822,180,1583,346,2712,530,2466,5179,1750,4213,660,4740,4508,1643
SWPP,"2/13/2021 9 p.m. CST",7491,505,1040,872,178,1584,343,2689,525,2460,5169,1720,4174,656,4718,4520,1647
SWPP,"2/13/2021 10 p.m. CST",7402,495,1046,894,176,1556,338,2648,515,2415,5135,1690,4098,647,4663,4492,1644
SWPP,"2/13/2021 11 p.m. CST",7272,483,1035,893,172,1507,334,2579,494,2366,4995,1642,4063,634,4549,4495,1618
SWPP,"2/14/2021 12 a.m. CST",7114,471,1023,885,166,1480,329,2524,475,2329,4910,1585,4000,616,4443,4504,1592
SWPP,"2/14/2021 1 a.m. CST",7035,462,1021,881,162,1490,322,2490,468,2304,4837,1552,3945,608,4365,4474,1583
SWPP,"2/14/2021 2 a.m. CST",6991,458,1027,876,159,1484,318,2441,465,2306,4798,1539,3934,601,4323,4492,1585
SWPP,"2/14/2021 3 a.m. CST",6993,457,1029,873,157,1481,317,2420,464,2304,4802,1535,3923,596,4292,4537,1594
SWPP,"2/14/2021 4 a.m. CST",7012,456,1033,876,156,1470,315,2406,464,2315,4800,1530,3908,594,4289,4549,1608
SWPP,"2/14/2021 5 a.m. CST",7062,457,1041,876,156,1472,316,2418,469,2315,4830,1535,3936,593,4304,4564,1634
SWPP,"2/14/2021 6 a.m. CST",7200,464,1062,876,157,1478,319,2443,482,2348,4898,1558,3981,594,4359,4578,1668
SWPP,"2/14/2021 7 a.m. CST",7363,475,1084,873,161,1509,321,2488,500,2389,4992,1601,4029,604,4444,4641,1706
SWPP,"2/14/2021 8 a.m. CST",7549,479,1110,785,164,1537,319,2524,515,2407,5054,1639,4089,620,4538,4744,1742
SWPP,"2/14/2021 9 a.m. CST",7773,494,1147,798,168,1580,324,2601,531,2443,5215,1687,4135,636,4660,4692,1778
SWPP,"2/14/2021 10 a.m. CST",7959,511,1169,808,177,1626,333,2673,546,2485,5339,1733,4200,653,4757,4611,1775
SWPP,"2/14/2021 11 a.m. CST",8031,521,1168,814,179,1634,340,2719,549,2471,5394,1752,4197,657,4812,4570,1777
SWPP,"2/14/2021 12 p.m. CST",8049,522,1155,809,182,1638,340,2743,553,2458,5419,1764,4165,663,4840,4495,1806
SWPP,"2/14/2021 1 p.m. CST",8063,525,1138,806,181,1639,342,2719,553,2439,5427,1759,4106,660,4823,4426,1814
SWPP,"2/14/2021 2 p.m. CST",8013,523,1125,801,179,1619,343,2671,551,2385,5437,1748,4053,657,4795,4342,1817
SWPP,"2/14/2021 3 p.m. CST",7980,517,1115,799,181,1610,341,2651,546,2371,5417,1746,4021,655,4759,4263,1781
SWPP,"2/14/2021 4 p.m. CST",8006,516,1115,798,180,1602,340,2647,553,2382,5411,1755,3978,650,4745,4268,1782
SWPP,"2/14/2021 5 p.m. CST",8099,523,1130,797,180,1634,340,2688,569,2430,5458,1788,4007,646,4793,4313,1804
SWPP,"2/14/2021 6 p.m. CST",8272,541,1158,802,187,1683,348,2799,591,2535,5581,1870,4067,648,4860,4398,1837
SWPP,"2/14/2021 7 p.m. CST",8440,552,1174,814,192,1713,361,2888,606,2627,5666,1927,4164,655,4956,4598,1868
SWPP,"2/14/2021 8 p.m. CST",8386,543,1165,806,186,1698,361,2870,598,2622,5625,1903,4178,648,4936,4687,1850
SWPP,"2/14/2021 9 p.m. CST",8294,530,1158,800,183,1679,363,2825,586,2602,5543,1865,4163,647,4886,4684,1837
SWPP,"2/14/2021 10 p.m. CST",8224,521,1145,798,179,1651,364,2776,571,2570,5417,1820,4112,640,4814,4562,1819
SWPP,"2/14/2021 11 p.m. CST",8081,507,1124,776,174,1607,354,2693,548,2540,5298,1762,4021,626,4702,4459,1795
SWPP,"2/15/2021 12 a.m. CST",7929,494,1107,758,170,1575,351,2631,529,2484,5203,1712,3952,615,4572,4388,1776
SWPP,"2/15/2021 1 a.m. CST",7774,484,1103,753,166,1568,341,2583,516,2459,5125,1668,3891,610,4546,4418,1761
SWPP,"2/15/2021 2 a.m. CST",7730,482,1109,751,164,1558,343,2562,513,2416,5082,1651,3856,619,4537,4440,1771
SWPP,"2/15/2021 3 a.m. CST",7754,481,1114,749,163,1560,342,2566,514,2471,5080,1651,3838,618,4502,4417,1777
SWPP,"2/15/2021 4 a.m. CST",7821,484,1112,747,162,1567,345,2581,516,2479,5127,1661,3833,615,4501,4363,1782
SWPP,"2/15/2021 5 a.m. CST",7925,492,1100,752,162,1580,342,2613,522,2516,5147,1679,3855,625,4557,4429,1780
SWPP,"2/15/2021 6 a.m. CST",8036,506,1119,763,169,1631,350,2690,540,2544,5224,1718,3842,641,4663,4518,1792
SWPP,"2/15/2021 7 a.m. CST",8281,522,1148,770,177,1687,362,2785,567,2653,5359,1793,3919,676,4884,4725,1817
SWPP,"2/15/2021 8 a.m. CST",8452,532,1185,782,183,1714,368,2843,593,2691,5426,1845,3965,683,5018,4902,1830
SWPP,"2/15/2021 9 a.m. CST",8613,545,1211,791,184,1736,374,2898,606,2686,5474,1872,3978,671,5126,4864,1846
SWPP,"2/15/2021 10 a.m. CST",8663,560,1222,796,193,1754,386,2953,615,2659,5510,1895,3955,654,5073,4752,1830
SWPP,"2/15/2021 11 a.m. CST",8582,568,1214,799,194,1760,386,2989,616,2623,5455,1894,3890,657,5091,4724,1788
SWPP,"2/15/2021 12 p.m. CST",8437,565,1209,795,194,1761,389,2991,607,2571,5393,1881,3810,656,5094,4669,1724
SWPP,"2/15/2021 1 p.m. CST",8218,556,1184,765,194,1750,384,2945,586,2452,5182,1828,3699,641,4987,4489,1645
SWPP,"2/15/2021 2 p.m. CST",8108,559,1159,762,189,1741,384,2926,574,2388,5161,1796,3567,630,4913,4387,1610
SWPP,"2/15/2021 3 p.m. CST",8005,545,1123,756,189,1722,374,2870,555,2318,5076,1755,3483,605,4858,4397,1581
SWPP,"2/15/2021 4 p.m. CST",7955,531,1108,755,186,1703,364,2812,537,2326,4986,1723,3419,589,4778,4448,1555
SWPP,"2/15/2021 5 p.m. CST",7990,530,1114,753,184,1708,359,2801,529,2301,5010,1716,3430,589,4754,4493,1583
SWPP,"2/15/2021 6 p.m. CST",8205,541,1139,757,191,1739,358,2848,545,2369,5176,1754,3469,600,4825,4600,1655
SWPP,"2/15/2021 7 p.m. CST",8533,561,1177,771,195,1772,364,2928,573,2521,5410,1834,3625,635,4954,4687,1720
SWPP,"2/15/2021 8 p.m. CST",8552,552,1180,762,191,1751,362,2879,567,2569,5441,1828,3760,649,4936,4709,1739
SWPP,"2/15/2021 9 p.m. CST",8507,541,1172,762,185,1717,358,2825,562,2554,5385,1800,3765,612,4837,4722,1741
SWPP,"2/15/2021 10 p.m. CST",8431,534,1157,765,177,1660,349,2745,548,2506,5295,1757,3756,594,4730,4667,1733
SWPP,"2/15/2021 11 p.m. CST",8261,517,1138,764,168,1601,339,2651,525,2495,5182,1705,3720,596,4586,4521,1725
SWPP,"2/16/2021 12 a.m. CST",8117,508,1129,757,163,1571,329,2590,513,2459,5098,1660,3705,592,4491,4428,1727
SWPP,"2/16/2021 1 a.m. CST",8125,493,1133,748,161,1553,326,2555,508,2439,5066,1637,3716,588,4416,4339,1755
SWPP,"2/16/2021 2 a.m. CST",8156,490,1140,825,159,1550,324,2531,508,2496,5042,1626,3704,586,4413,4353,1763
SWPP,"2/16/2021 3 a.m. CST",8190,489,1149,892,157,1554,323,2526,510,2468,5097,1626,3704,592,4434,4353,1771
SWPP,"2/16/2021 4 a.m. CST",8308,490,1163,806,158,1558,324,2545,513,2498,5100,1637,3700,603,4453,4385,1774
SWPP,"2/16/2021 5 a.m. CST",8434,494,1182,760,160,1575,328,2574,524,2524,5159,1665,3733,610,4479,4403,1800
SWPP,"2/16/2021 6 a.m. CST",8575,511,1214,770,164,1629,333,2639,544,2589,5256,1710,3784,624,4587,4469,1825
SWPP,"2/16/2021 7 a.m. CST",8810,523,1227,774,161,1668,336,2724,572,2663,5318,1778,3780,619,4727,4789,1842
SWPP,"2/16/2021 8 a.m. CST",8463,521,1211,750,164,1634,321,2687,561,2516,5137,1726,3456,586,4594,4607,1759
SWPP,"2/16/2021 9 a.m. CST",8189,512,1152,734,162,1600,310,2613,547,2449,4989,1665,3440,580,4446,4451,1645
SWPP,"2/16/2021 10 a.m. CST",8009,518,1107,744,164,1525,308,2501,544,2402,4930,1667,3515,574,4403,4318,1626
SWPP,"2/16/2021 11 a.m. CST",8070,530,1087,758,167,1506,321,2476,560,2478,5121,1701,3734,599,4467,4365,1649
SWPP,"2/16/2021 12 p.m. CST",8024,520,1043,748,164,1520,320,2488,548,2421,5089,1687,3716,595,4472,4344,1611
SWPP,"2/16/2021 1 p.m. CST",7775,507,986,734,163,1466,319,2449,539,2365,4948,1678,3680,583,4328,4291,1540
SWPP,"2/16/2021 2 p.m. CST",7588,497,942,742,161,1429,317,2437,533,2389,4851,1686,3603,587,4229,4208,1508
SWPP,"2/16/2021 3 p.m. CST",7445,482,902,768,157,1399,310,2407,517,2376,4764,1672,3511,584,4158,4210,1486
SWPP,"2/16/2021 4 p.m. CST",7346,469,881,790,159,1369,306,2358,518,2381,4742,1660,3449,575,4097,4182,1495
SWPP,"2/16/2021 5 p.m. CST",7413,472,911,821,157,1380,305,2377,534,2464,4811,1679,3447,577,4166,4265,1537
SWPP,"2/16/2021 6 p.m. CST",7618,485,971,830,166,1454,311,2473,551,2515,4916,1736,3521,588,4368,4391,1581
SWPP,"2/16/2021 7 p.m. CST",7833,508,1015,811,179,1562,331,2628,569,2591,5023,1803,3647,604,4569,4455,1606
SWPP,"2/16/2021 8 p.m. CST",7783,504,1009,742,175,1561,334,2631,566,2519,4996,1807,3678,595,4507,4400,1603
